scenario_id_fr,text,group
1_49_4,"Ask if there is a cheaper, generic version of the medication",12
1_50_4,Talk to churches and see if they could give money and help out,3
1_51_4,Rob a local pharmacy to get it.,8
1_52_4,contact the pharmaceutical company to see if they have a program to help people who can't affford the medicine,10
1_53_4,Argue with the insurance company until they agree to cover the medication.,14
1_54_4,Take out a loan to help. ,4
1_55_4,Heinz could take what money he does have and gamble with it in hopes of winning enough money,0
1_56_4,Look for charity organizations that will pay for the med.,3
1_57_4,it is very expansive medication,0
1_58_4,dont take medicine,5
1_59_4,Sell items.,7
1_60_4,steal the medicine ,8
1_61_4,He asks for help with friends,1
1_62_4,Ignore it,0
1_63_4,pay for the medicine with credit,4
1_64_4,nothing,0
1_65_4,Rob a bank for money,9
1_66_4,Borrow money from a friend,1
1_67_4,borrow money from other family,1
1_68_4,Try to start a fundraiser,2
1_69_4,Appeal with insurance,14
1_70_4,ask their church community for help if they are religious,3
1_71_4,Ask someone else for the medicine,12
1_72_4,"Break into a person's home, steal items and sell them off for money",9
1_73_4,Rob a bank to get the money,9
1_74_4,Break into the pharmacy after hours and steal the medication.,8
1_75_4,Request a loan to buy the medication,4
1_76_4,Allow his wife to go untreated,5
1_77_4,ask for help from family,1
1_78_4,ask friends for help,1
1_79_4,Ask for a discount,10
1_80_4,Steal the money.,9
1_81_4,Ask his church for help.,3
1_82_4,Ask their kids for help,1
1_83_4,Ask friends for financial help,1
1_84_4,crowdfund for the money for meds,2
1_85_4,Make a plea to a local religious organization.,3
1_86_4,Heinz can beg for money.,0
1_87_4,He will ask family or friends for help.,1
1_88_4,Take treatment,11
1_89_4,contact relatives/friends,1
1_90_4,apply for medicaid,3
1_91_4,Preferred pharmacy: Refers to a smaller number of pharmacies,3
1_92_4,apply for assistance,3
1_93_4,Take out a Care Credit card to pay for it,4
1_94_4,let his wife die,5
1_95_4,use something like go fund me to raise the money,2
1_96_4,she could get better insurance coverage,13
1_97_4,borrow the money every month to cover the medication ,4
1_98_4,he could abandon his wife,5
1_99_4,Ask friends for money to help,1
1_100_4,Try to get different insurance.,13
1_101_4,make a fund raiser,2
1_102_4,Talk to her doctor.,12
1_103_4,raise money to buy it,2
1_104_4,Steal medicine,9
1_1_5,Try and haggle with insurance or seller.,14
1_2_5,file an appeal with the insurance company,14
1_3_5,Give up,5
1_4_5,work extra hours for the money,6
1_5_5,Get a coupon,10
1_6_5,Beg relatives and friends for cash,1
1_7_5,Heinz could pick up another job,6
1_8_5,Create a gofundme account to raise money,2
1_9_5,Steal the money,9
1_10_5,Don't buy the medicine.,5
1_11_5,Don't do anything ,5
1_12_5,Heinz try to get help from his friends,1
1_13_5,Look for programs that help people in need.,3
1_14_5,ask a family memeber to borrow the money,1
1_15_5,rob a bank,9
1_16_5,Get a job to earn money to purchase own medication,6
1_17_5,look for a local support group that deals with his wife's illness and see if they havve any ideas,3
1_18_5,Heinz can give up and tell his wife she is on her own.,5
1_19_5,Steal the medication.,8
1_20_5,try to get someone else to give them their medication,3
1_21_5,prepare for his wife to die,5
1_22_5,take a second job to earn extra cash,6
1_23_5,Pawn belongings.,7
1_24_5,let her die,5
1_25_5,take out a loan,4
1_26_5,steal,8
1_27_5,sell some possessions,7
1_28_5,Look into medicine in other countries,12
1_29_5,commit crimes to get the money,9
1_30_5,steal the medication,8
1_31_5,Steal the medication,8
1_32_5,Set up a go fund account,2
1_33_5,Get another job to help pay for the medication.,6
1_34_5,Go without the medicine.,5
1_35_5,Purchase the medicine out of country for a cheaper price,12
1_36_5,Try and find the medication online.,12
1_37_5,Buy a generic drug if possible ,12
1_38_5,Accept that they don't have enough money to pay for it and hope for the best.,5
1_39_5,Rob a bank.,9
1_40_5,family,1
1_41_5,go without,5
1_42_5,look for generic alternatives ,12
1_43_5,Borrow money from family.,1
1_44_5,Use savings to pay for ir,11
1_45_5,pray,5
1_46_5,Heinz could seek the help of health awareness activists.,3
1_47_5,Start an online business,6
1_48_5,borrow money from friends/family,1
1_49_5,Go to the casino and try and win some money,0
1_50_5,See if they could get on food stamps and other types of welfare to pay for it.,3
1_51_5,Reach out to friends and family for financial assistance.,1
1_52_5,sell something to get the money,7
1_53_5,Kidnap the insurance company's CEO's child until they agree to cover his wife's medication.,8
1_54_5,Cash in CD's or take money out of a retirement fund to help.,11
1_55_5,Heinz could euthanize his wife,5
1_56_5,Refinance their house.,4
1_57_5,virtual for her,5
1_58_5,ask pharmacy for help,10
1_59_5,Rob a store.,9
1_60_5,ask for donations,2
1_61_5,Pray to the god,0
1_62_5,Get government help,3
1_63_5,take out a loan to pay for the medicine,4
1_64_5,ask dr for different med,12
1_65_5,Let his wife suffer,5
1_66_5,Not get the treatment,5
1_67_5,ask doctor for alternative treatment,12
1_68_5,Sell items to pay for it,7
1_69_5,Ask a local clinic for help,12
1_70_5,write a bad check to pay for the medication,8
1_71_5,Try and negotiate a cheaper price for the medicine.,10
1_72_5,Sell all his belongings and beg for money on the streets,7
1_73_5,Let her die,5
1_74_5,Apply for a credit card so that he can buy it on credit.,4
1_75_5,Sell their possessions to buy the medication,7
1_76_5,Illegally gather funds for the medication,9
1_77_5,go without the medication,5
1_78_5,steal the meds,8
1_79_5,Ask to borrow money from friends and family ,1
1_80_5,Steal the medication.,8
1_81_5,"Look online for prescription savings, such as Good RX.",10
1_82_5,Apply to a credit card,4
1_83_5,Start a Go Fund Me page,2
1_84_5,sell possessions for the money,7
1_85_5,Start a gofundme.,2
1_86_5,Heinz can do nothing.,5
1_87_5,He will call her insurance company.,14
1_88_5,Buy expensive medicine,11
1_89_5,get a loan,4
1_90_5,rob a pharmacy,8
1_91_5, lower cost for your medication. ,10
1_92_5,look for alternative treatments,12
1_93_5,Take out a personal loan,4
1_94_5,take out a loan to pay for the meds,4
1_95_5,see if they can find a generic brand that is cheaper,12
1_96_5,Heinz could get a job with better insurance coverage,13
1_97_5,get a loan to cover the cost of the medication,4
1_98_5,he could go around begging for money,1
1_99_5,Ask family for money to help,1
1_100_5,Let her stay sick.,5
1_101_5,do nothing about it,5
1_102_5,Contact political leadership.,3
1_103_5,sue the insurance company,14
1_104_5,Hope for the best,5
2_1_1,Call emergency services.,14
2_2_1,call a cab,1
2_3_1,Call a cab to pick him up,1
2_4_1,Call his insurance company,8
2_5_1,Run to the airport,6
2_6_1,Forget flightfix car,5
2_7_1,Josh can call an uber,1
2_8_1,He could get out and run,6
2_9_1,Call an Uber,1
2_10_1,Call a taxi,1
2_11_1,Sit in the car and do nothing,15
2_12_1,he should try to repair his car,13
2_13_1,See how long it would take AAA to get there.,2
2_14_1,call someone for help,4
2_15_1,Try to call the airport to explain the situation.,10
2_16_1,Call someone to give him a ride to the airport,4
2_17_1,ditch his car and call a cab,16
2_18_1,Josh can call a tow truck and a taxi so the car can be removed from the road and the taxi can take him to the airport.,2
2_19_1,Call his auto club.,2
2_20_1,call an uber or taxi,1
2_21_1,call a friend,4
2_22_1,call an uber,1
2_23_1,Call AAA.,2
2_24_1,call taxi ,1
2_25_1,Call a friend,4
2_26_1,call for help,4
2_27_1,ask a stranger for a ride,3
2_28_1,Call a tow truck,2
2_29_1,Call a taxi,1
2_30_1,call his parents to bring a car,4
2_31_1,Call a friend,4
2_32_1,call tow truck,2
2_33_1,Call a friend to pick him up and take him to the airport.,4
2_34_1,Call a taxi.,1
2_35_1,Call for a taxi/Uber,1
2_36_1,Call a friend,4
2_37_1,Hitchhike,3
2_38_1,Call an Uber and get his car towed.,1
2_39_1,Call for a taxi. ,1
2_40_1,catch a uber,1
2_41_1,call a friend for aride,4
2_42_1,call tow truck,2
2_43_1,Call his insurance company and ask for a car to take him to the airport,8
2_44_1,Call AAA,2
2_45_1,Thumb a ride,3
2_46_1,Josh could walk to the airport.,6
2_47_1,Take an UBER,1
2_48_1,hail a taxi,1
2_49_1,Call a taxi to take him to the airport,1
2_50_1,He could hitchhike,3
2_51_1,Have his car towed and take an uber.,1
2_52_1,"call a taxi to get to the airport, leaving his car there",1
2_53_1,Call a tow truck and then a taxi.,2
2_54_1,Call a tow truck for the car and reschedule his flight.,2
2_55_1,Josh could carjack another driver,9
2_56_1,Call a tow truck (or AAA) and have them tow it to a shop.,2
2_57_1,hunting safari in africa,0
2_58_1,flag someone down,11
2_59_1,Call a cab.,1
2_60_1,ask a stranger to take him,3
2_61_1,Ask  help highway  strangers ,11
2_62_1,Get a taxi,1
2_63_1,call a friend to pick him up and take him to the airport,4
2_64_1,call his wife or a friend for a ride,4
2_65_1,Give up on the trip,5
2_66_1,Call an Uber,1
2_67_1,call aaa for a tow,2
2_68_1,Call a tow,2
2_69_1,Call a family member,4
2_70_1,call the airline and see if he can reschedule his flight,10
2_71_1,Forget about the trip and go home,5
2_72_1,"Call a cab, offer to pay them extra if they can make pick you up and get you to the airport on time",1
2_73_1,Hitchhike,3
2_74_1,Call Uber to pick him up where he's at.,1
2_75_1,Call a taxi,1
2_76_1,Cancel the trip,5
2_77_1,hitch a ride,3
2_78_1,call for a tow,2
2_79_1,Try to hitchhike a ride,3
2_80_1,Leave his car and call a cab to the airport.,1
2_81_1,call a friend to come take him to the airport,4
2_82_1,call a taxi,1
2_83_1,"Call a friend, ask for a ride, call a tow truck",4
2_84_1,"call a taxi, and have a friend get his car",1
2_85_1,call a cab.,1
2_86_1,He can go to sleep.,15
2_87_1,He will ask someone for a ride.,3
2_88_1,Act fast,0
2_89_1,call for tow truck,2
2_90_1,call a towing company,2
2_91_1,but his car breaks down on the highway,0
2_92_1,Call a tow truck,2
2_93_1,Call a friend to help him take care of the car,4
2_94_1,call a tow truck and get a taxi,2
2_95_1,try to catch a taxi,1
2_96_1,Flag down a car for help,11
2_97_1,cancel his trip ,5
2_98_1,Josh could hitch hike,3
2_99_1,call a cab for help,1
2_100_1,Call a taxi.,1
2_101_1,call tripple A,2
2_102_1,He could hitchhike.,3
2_103_1,get a taxi to the airport,1
2_104_1,Get out and run,6
2_1_2,Ditch his car.,16
2_2_2,walk to the nearest bus stop,12
2_3_2,Hitchhike,3
2_4_2,Call for a tow truck,1
2_5_2,Steal someone's car and finish driving,9
2_6_2,Get refund for trip,7
2_7_2,Josh can call a friend to come help,4
2_8_2,He could try to hitchhike,3
2_9_2,Call a friend to come pick him up,4
2_10_2,Try to thumb a ride,3
2_11_2,Call the police and ask for help,14
2_12_2,he should to get help from others,11
2_13_2,Reschedule the flight.,7
2_14_2,see if there is another flight that goes out later on,7
2_15_2,"leave his car, hail a taxi and go to the airport.",1
2_16_2,Get an Uber to the airport and have family members get car,1
2_17_2,call a mechanic to tow the car and catch a cab in the meantime,2
2_18_2,Josh can get an Uber and leave his car.,1
2_19_2,Call a tow truck.,2
2_20_2,ask a friend for a ride,4
2_21_2,call an Uber,1
2_22_2,call a taxi,1
2_23_2,Get an Uber.,1
2_24_2,call friend,4
2_25_2,Call a family member,4
2_26_2,listen to the radio,15
2_27_2,ask family for a ride,4
2_28_2,Call a friend for a ride,4
2_29_2,Call a tow truck,2
2_30_2,call a friend to bring a car,4
2_31_2,Hitchhike,3
2_32_2,call friends,4
2_33_2,Hitchhike to the airport.,3
2_34_2,Call someone to tow his car.,2
2_35_2,Simply reschedule his flight,7
2_36_2,Call a cab/uber,1
2_37_2,Go by foot,6
2_38_2,Call a friend who is close by for help.,4
2_39_2,Try to hitchhike to the airport.,3
2_40_2,lyft,1
2_41_2,call an uber,1
2_42_2,call friend,4
2_43_2,Call a relative to stay with his car until the tow truck comes and have another relative take him to the airport,4
2_44_2,Call the police to get him,14
2_45_2,uber it,1
2_46_2,Josh could call his mechanic for help.,2
2_47_2,Call a tow service,2
2_48_2,use a rideshare app,3
2_49_2,Call a friend to drive him to the airport,4
2_50_2,He could flag another car down so he can call a tow truck,11
2_51_2,Have a friend meet him to drive him to the airport and handle the two for him afterward.,4
2_52_2,call a tow truck and reschedule for a later flight,2
2_53_2,Abandon the car and call a taxi.,1
2_54_2,Call a friend to help him by staying with the car for a tow and catch an uber. ,4
2_55_2,Josh could give up and miss his flight,5
2_56_2,Call Lyft for a ride to airport leaving car on highway and pay for getting it out of police dept when he gets back.,1
2_57_2,he leaves with plenty of time makes breakes down on the highway,0
2_58_2,call a cabl,1
2_59_2,Call AAA,2
2_60_2,wait for a cacb,1
2_61_2,Walking,6
2_62_2,Get an uber,1
2_63_2,leave his car and hitchhike to the airport,3
2_64_2,call a tow,2
2_65_2,Call a friend for a ride,4
2_66_2,Ask a friend/family member for a ride,4
2_67_2,call a friend to pick him up and get car towed somewhere,4
2_68_2,Call family to see if they can handle the car and tow and take him to airport,4
2_69_2,Call a friend,4
2_70_2,flag down a taxi,1
2_71_2,Wait for someone to repair the car,13
2_72_2,Try to flag someone down for a ride,11
2_73_2,Call a rideshare (and a towtruck),3
2_74_2,Call all his friends to see if there's anyone that can pick him up.,4
2_75_2,Steal someone's car,9
2_76_2,Get it towed and call an Uber,2
2_77_2,call a tow truck,2
2_78_2,call a family member to take his car,4
2_79_2,Miss his flight,5
2_80_2,Try to hitchhike to the airport.,3
2_81_2,call for a taxi,1
2_82_2,call a shuttle,12
2_83_2,"call a tow truck and, pay in advance, and see if the driver will drop him at the airport",2
2_84_2,take a different flight,7
2_85_2,flag down another motorist.,11
2_86_2,He can call and ask his friend to come and get him.,4
2_87_2,He will miss his flight and go home.,5
2_88_2,Recall,0
2_89_2,call for rental/Uber/similar,1
2_90_2,cancel the trip,5
2_91_2,"busy intersection, and knows he needs to get ",0
2_92_2,Call a taxi,1
2_93_2,Abandon his car and take an Uber,1
2_94_2,call a friend or family member for help,4
2_95_2,call a ride sharing service,3
2_96_2,Call AAA,2
2_97_2,arrange to have a friend tow the truck home,4
2_98_2,he could trek,6
2_99_2,hitch a ride with some other motorist,3
2_100_2,Hitchhike,3
2_101_2,Ask a stranger for help,11
2_102_2,He could call a cab/uber/lyft.,1
2_103_2,call a friend to pick him up,4
2_104_2,Call for help,4
2_1_3,Call a taxi/Uber.,1
2_2_3,call a tow truck,2
