type,condition1,condition2,trialNo,target,stim1,stim2,stim3,stim4,stim5,stim6,key,ITI,presTime,ISI,presTimeS2,stimFormat,title,content,trialText,button1,feedbackIncorrect,feedbackTime,random,randomBlock,subjectGroup
test,improbable,scenario1,18,How likely is Heinz to. . . inherit money from a close relative?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,improbable,scenario1,19,How likely is Heinz to. . . receive the money from a stranger?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,improbable,scenario1,20,How likely is Heinz to. . . discover a cheap new medicine?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,irrational,scenario1,21,How likely is Heinz to. . . sell his own medication?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,irrational,scenario1,22,How likely is Heinz to. . . sell all his clothes for money?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,irrational,scenario1,23,How likely is Heinz to. . . go on strike until wages increase?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,irrational,scenario1,24,How likely is Heinz to. . . try random other medicines?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
instructions,na,,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Please read the following story:,"Josh is on the way to the airport to catch a flight for a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.",na,Continue,na,na,na,2,1
instructions,na,,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Your job in this part of the study will be to answer this question: How likely is that Josh would actually do each thing?,Go to the next page to start seeing different proposals for what Josh could do.,na,na,na,na,na,2,1
test,possible,scenario2,25,How likely is Josh to. . . reschedule for a later flight?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,possible,scenario2,26,How likely is Josh to. . . ask the gas station clerk for help?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,possible,scenario2,27,How likely is Josh to. . . take the public bus there?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,possible,scenario2,28,How likely is Josh to. . . request aiport shuttle pickup?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,possible,scenario2,29,How likely is Josh to. . . ask a relative to pick him up?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,possible,scenario2,30,How likely is Josh to. . . hail a taxi at the intersection?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,possible,scenario2,31,How likely is Josh to. . . call a friend for a ride?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,possible,scenario2,32,How likely is Josh to. . . take public transportation?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,impossible,scenario2,33,How likely is Josh to. . . get a new car by thinking?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,impossible,scenario2,34,How likely is Josh to. . . ride a cat to the airport?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,impossible,scenario2,35,How likely is Josh to. . . teleport himself to the airport?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,impossible,scenario2,36,How likely is Josh to. . . levitate and fly to the airport?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,immoral,scenario2,37,How likely is Josh to. . . steal another person's car?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,immoral,scenario2,38,How likely is Josh to. . . take a taxi without paying?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,immoral,scenario2,39,How likely is Josh to. . . take another driver hostage?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,immoral,scenario2,40,How likely is Josh to. . . sneak onto public transportation?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,improbable,scenario2,41,How likely is Josh to. . . beckon a friend passing by?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,improbable,scenario2,42,How likely is Josh to. . . convince airport to delay flight?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,improbable,scenario2,43,How likely is Josh to. . . get a stranger to drive him?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,improbable,scenario2,44,How likely is Josh to. . . arrange for a private plane?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,irrational,scenario2,45,How likely is Josh to. . . book a flight for next year?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,irrational,scenario2,46,How likely is Josh to. . . sell car for ride to airport?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,irrational,scenario2,47,How likely is Josh to. . . pay 1000 dollars for a ride?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
test,irrational,scenario2,48,How likely is Josh to. . . try to run there in time?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,2,1
instructions,na,,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Please read the following story:,"Brian is the evening manager at a bakery. Near the end of the day, he realizes that $50.75 is missing from the register and that he is responsible for accounting for the money at the end of the day. Brian knows he has to make sure the register is balanced or he might lose his job.",na,Continue,na,na,na,3,1
instructions,na,,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Your job in this part of the study will be to answer this question: How likely is that Brian would actually do each thing?,Go to the next page to start seeing different proposals for what Brian could do.,na,na,na,na,na,3,1
test,possible,scenario3,49,How likely is Brian to. . . explain the situation to his boss?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,possible,scenario3,50,How likely is Brian to. . . ask other employees what to do?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,possible,scenario3,51,How likely is Brian to. . . get a payday advance loan?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,possible,scenario3,52,How likely is Brian to. . . sell something he owns for money?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,possible,scenario3,53,How likely is Brian to. . . use money from his own wallet?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,possible,scenario3,54,How likely is Brian to. . . add in money from his daily tips?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,possible,scenario3,55,How likely is Brian to. . . borrow money from a friend?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,possible,scenario3,56,How likely is Brian to. . . write a check for $50.75?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,impossible,scenario3,57,How likely is Brian to. . . turn the cash register invisible?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,impossible,scenario3,58,How likely is Brian to. . . use some monopoly money instead?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,impossible,scenario3,59,How likely is Brian to. . . take pictures of missing bills?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,impossible,scenario3,60,How likely is Brian to. . . get the money by sneezing a lot?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,immoral,scenario3,61,How likely is Brian to. . . overcharge the next customers?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,immoral,scenario3,62,How likely is Brian to. . . steal money from a coworker?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,immoral,scenario3,63,How likely is Brian to. . . lie about how much the bakery sold?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,immoral,scenario3,64,How likely is Brian to. . . give new customers incorrect change?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,improbable,scenario3,65,How likely is Brian to. . . find the money on the ground?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,improbable,scenario3,66,How likely is Brian to. . . discover the money is in his pocket?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,improbable,scenario3,67,How likely is Brian to. . . get a child to donate the money?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,improbable,scenario3,68,How likely is Brian to. . . receive a 100 dollar tip?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,irrational,scenario3,69,How likely is Brian to. . . close the store five hours early?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,irrational,scenario3,70,How likely is Brian to. . . pay with his retirement fund?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,irrational,scenario3,71,How likely is Brian to. . . try to invent new pastries?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
test,irrational,scenario3,72,How likely is Brian to. . . discount food to encourage tipping?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,3,1
instructions,na,,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Please read the following story:,"Liz decides to go to the gym on her lunch break because she is going to have to work late tonight and won't have time during the evening. When she gets to the gym, she realizes that her membership has expired since she last went.",na,Continue,na,na,na,4,1
instructions,na,,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Your job in this part of the study will be to answer this question: How likely is that Liz would actually do each thing?,Go to the next page to start seeing different proposals for what Liz could do.,na,na,na,na,na,4,1
test,possible,scenario4,73,How likely is Liz to. . . wait to go to the gym tomorrow?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,possible,scenario4,74,How likely is Liz to. . . go for a run outside instead?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,possible,scenario4,75,How likely is Liz to. . . decide to lift weights at home?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,possible,scenario4,76,How likely is Liz to. . . eat lunch instead of working out?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,possible,scenario4,77,How likely is Liz to. . . use a friend's guest pass?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,possible,scenario4,78,How likely is Liz to. . . pay for a one-day gym pass?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,possible,scenario4,79,How likely is Liz to. . . be allowed in just this once?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,possible,scenario4,80,How likely is Liz to. . . renew her gym membership?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,impossible,scenario4,81,How likely is Liz to. . . turn invisible and go in?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,impossible,scenario4,82,How likely is Liz to. . . wish all gyms to be free forever?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,impossible,scenario4,83,How likely is Liz to. . . renew her membership by blinking?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,impossible,scenario4,84,How likely is Liz to. . . turn her hat into a gym pass?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,immoral,scenario4,85,How likely is Liz to. . . take someone else's gym card?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,immoral,scenario4,86,How likely is Liz to. . . claim she left her wallet inside?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,immoral,scenario4,87,How likely is Liz to. . . sneak past the gym attendant?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,immoral,scenario4,88,How likely is Liz to. . . go in the back door without paying?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,improbable,scenario4,89,How likely is Liz to. . . learn the gym stopped checking IDs?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,improbable,scenario4,90,How likely is Liz to. . . receive a free lifetime membership?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,improbable,scenario4,91,How likely is Liz to. . . find a one-day pass in purse?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,improbable,scenario4,92,How likely is Liz to. . . discover the gym is free today?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,irrational,scenario4,93,How likely is Liz to. . . decide to never exercise again?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,irrational,scenario4,94,How likely is Liz to. . . try again in three minutes?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,irrational,scenario4,95,How likely is Liz to. . . complain in a foreign language?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
test,irrational,scenario4,96,How likely is Liz to. . . run back and forth across lobby?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,4,1
instructions,na,,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Please read the following story:,Mary is about to go to her final class of the day when she remembers that there a homework assignment that is due. Mary's mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,na,Continue,na,na,na,5,1
instructions,na,,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Your job in this part of the study will be to answer this question: How likely is that Mary would actually do each thing?,Go to the next page to start seeing different proposals for what Mary could do.,na,na,na,na,na,5,1
test,possible,scenario5,97,How likely is Mary to. . . run home to get her homework?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,possible,scenario5,98,How likely is Mary to. . . bring in her homework tomorrow?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,possible,scenario5,99,How likely is Mary to. . . ask for an extra-credit assignment?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,possible,scenario5,100,How likely is Mary to. . . ask her mom what she should do?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,possible,scenario5,101,How likely is Mary to. . . explain what happened to her teacher?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,possible,scenario5,102,How likely is Mary to. . . quickly redo the homework assignment?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,possible,scenario5,103,How likely is Mary to. . . ask her mom to bring the homework?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,possible,scenario5,104,How likely is Mary to. . . have her parents call the teacher?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,impossible,scenario5,105,How likely is Mary to. . . have her homework teleported?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,impossible,scenario5,106,How likely is Mary to. . . remind herself yesterday evening?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,impossible,scenario5,107,How likely is Mary to. . . turn in several socks instead?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,impossible,scenario5,108,How likely is Mary to. . . erase the teacher's memory?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,immoral,scenario5,109,How likely is Mary to. . . quickly copy someone's homework?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,immoral,scenario5,110,How likely is Mary to. . . put her name on a friend's homework?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,immoral,scenario5,111,How likely is Mary to. . . forge an excuse note?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,immoral,scenario5,112,How likely is Mary to. . . lie about being sick to go home?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,improbable,scenario5,113,How likely is Mary to. . . discover her teacher is absent?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,improbable,scenario5,114,How likely is Mary to. . . learn school is canceled today?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,improbable,scenario5,115,How likely is Mary to. . . remember she has an extra copy?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,improbable,scenario5,116,How likely is Mary to. . . be given an A by mistake?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,irrational,scenario5,117,How likely is Mary to. . . ask her mom to FedEx the homework?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
test,irrational,scenario5,118,How likely is Mary to. . . look under the lunchroom tables?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,5,1
