Progress,Duration (in seconds),Finished,ResponseId,S1_1_1,S2-1_1,S3-1_1,S4-1_1,S5-1_1,S6-1_1,S7-1_1,S8-1_1,S9-1_1,S10-1_1,S11-1_1,S12-1_1,S13-1_1,S14-1_1,S15-1_1,S16-1_1,S17-1_1,S18-1_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,248,1,R_1jI07GSjTzEsobk,88,,,76,52,63,77,70,86,,71,,68,,81,,63,77,,23,1,2,,4,9,go on strike for better wages,,,pull the fire alarm,quickly try to redo the assignment,huddle to conserve energy,give her ticket to Ted,tackle him and hold him down,honk at the driver until they pull over,,slash the tires,,run away,,sell all the food to the highest bidder,,ask a friend to take over,hide him in the snow
100,296,1,R_2y1t2IgIRrf9rG3,19,,0,,,0,,8,,,20,81,9,0,51,100,100,9,,58,1,5,,8,8,search for the medication on the black market,,sell one of his kidneys,,,collect wood to start a fire,,make cat noises at him until he leaves,,,slash the tires,hide the knife in someone else's bag,borrow their mom’s wedding ring,check in on his father daily,ration their food,saw Todd’s arm off,leave the store unattended,leave her dogs with him
100,332,1,R_2E0tsRJ9eEtqxjK,,92,19,,,0,80,85,30,,0,10,30,0,100,,0,,,64,1,5,,8,3,,reschedule for a later flight,explain the situation to his boss,,,throw away all of the food,pretend they are conjoined twins,tackle him and hold him down,tailgate the car,,call emergency services,store the knife in an airport locker,steal someone else’s ring,move into his father’s apartment,sell all the food to the highest bidder,,tell his lawyer that he’s sick,
100,387,1,R_3EVZBrRji1LstJP,,,56,,94,1,91,6,0,,1,96,44,2,,98,,95,,39,2,4,,4,4,,,get an advance payday loan,,copy a friend's assignment,boost morale with a three-legged race,pretend they are conjoined twins,make cat noises at him until he leaves,take a detour at the next exit,,call emergency services,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,get another job,,saw Todd’s arm off,,steal his dogs for extra speed
100,328,1,R_3NywZmO3ylUJo4x,0,3,20,19,,,,10,1,5,,7,7,,0,8,0,,,55,1,5,,7,4,search for the medication on the black market,demand that the airline delays the flight,overcharge the next customers,lie that she left her card inside,,,,keep an eye on him,pull over and call 911,yell in gibberish until she leaves,,threaten security with the knife,blame it on the maid of honor,,ration their food,get her arm stuck in solidarity,lock up the store,
100,382,1,R_3Rz3rCefl1g5DuS,10,55,20,0,,,,90,0,,100,30,0,70,,80,10,,,34,2,2,,2,10,start a fundraiser,demand that the airline delays the flight,sell one of his kidneys,renew her membership,,,,tackle him and hold him down,take a detour at the next exit,,light a fire under the car,store the knife in an airport locker,call the taxi company,pitch his situation to a reality TV network,,leave Todd to save herself,call his lawyer,
100,388,1,R_2abQ9t2lOMqvHio,5,98,,5,12,,96,89,0,,0,,,95,94,6,,95,,55,1,5,,5,7,switch insurance plans,reschedule for a later flight,,pay for a day-pass to the gym,hypnotize the teacher,,teleport into the concert,wave to the parents,honk an angry message in Morse code,,call emergency services,,,abandon his father,sell all the food to the highest bidder,get her arm stuck in solidarity,,leave her dogs with him
100,415,1,R_1BP2AM2nG174l61,5,55,0,,85,,50,25,,60,5,,10,,0,35,5,,,49,1,5,,4,4,switch insurance plans,steal a passing driver's car,pay the money from his own wallet,,lie that her house burnt down,,teleport into the concert,keep an eye on him,,yell in gibberish until she leaves,check that the doors are locked,,tell his sister as soon as possible,,request supplies to be airdropped,hike until she finds cell service,tell his lawyer that he’s sick,
100,358,1,R_2TBnCy4uy0iPMlI,0,0,,20,30,,30,60,0,20,0,0,,0,,70,,,,33,2,5,,6,4,switch insurance plans,take a public bus,,crawl past the front desk,lie that her house burnt down,,teleport into the concert,read his mind,pull over and call 911,call her a cab,pour water on the car to cool it,ask to check the knife,,get another job,,saw Todd’s arm off,,
100,212,1,R_3s6co4i3lALuLJU,5,,,100,20,80,,95,3,,10,100,,5,100,2,100,,,36,1,5,,5,5,start a fundraiser,,,pull the fire alarm,hypnotize the teacher,huddle to conserve energy,,tackle him and hold him down,take a detour at the next exit,,slash the tires,threaten security with the knife,,move into his father’s apartment,serve engine fuel to the passengers,yell at Todd for getting stuck,stage a break-in at the store,
100,194,1,R_1eCOB6lnZLWwsUD,,40,8,,59,,31,,55,73,40,45,60,70,,29,,75,,30,2,5,,5,5,,demand that the airline delays the flight,sell one of his kidneys,,bring in the assignment the next day,,give her ticket to Ted,,tailgate the car,take her to his house but no further,call emergency services,take a train instead,borrow their mom’s wedding ring,buy his father a tent,,saw Todd’s arm off,,carry her competitor on her sled
100,437,1,R_0j2k9GDhtQRCCPL,18,72,15,30,100,69,,,,,25,,,0,100,79,100,0,,46,1,5,,2,9,search for the medication on the black market,try to convince a passing driver to trade cars,overcharge the next customers,borrow someone's phone,copy a friend's assignment,search for a water source,,,,,ask to use the mall's loudspeaker,,,pitch his situation to a reality TV network,serve engine fuel to the passengers,leave Todd to save herself,stage a break-in at the store,carry her competitor on her sled
100,305,1,R_798BeKywQGMVSnv,,22,,24,68,77,33,77,,,69,,,81,12,75,64,81,,26,1,1,,4,5,,call a taxi,,lie that she left her card inside,call her mom,huddle to conserve energy,try to buy a ticket off another person,keep an eye on him,,,call emergency services,,,move into his father’s apartment,throw disobedient passengers off the boat,get her arm stuck in solidarity,leave the store unattended,carry her competitor on her sled
100,287,1,R_31apIofK4YOb7hs,37,,21,,62,28,,74,,17,20,74,60,,,19,77,70,,40,2,5,,5,4,start a fundraiser,,get an advance payday loan,,bring in the assignment the next day,throw away all of the food,,make cat noises at him until he leaves,,take her to his house but no further,check that the doors are locked,pretend the knife is part of a hip replacement,blame it on the maid of honor,,,hike until she finds cell service,ask a friend to take over,call for help
100,353,1,R_1guqjVROXHDJK2A,25,,80,41,,,,56,15,94,100,83,85,71,,,75,23,,27,2,5,,4,7,commit credit card fraud,,stage a robbery,renew her membership,,,,make cat noises at him until he leaves,honk an angry message in Morse code,turn invisible,light a fire under the car,hide the knife in someone else's bag,tell his sister as soon as possible,buy his father a tent,,,lock up the store,call for help
100,246,1,R_3PnoJMb4JjSysPF,,,19,,9,61,9,19,,,0,,1,61,18,1,0,7,,42,2,5,,5,6,,,explain the situation to his boss,,hypnotize the teacher,throw away all of the food,go without Ted,wave to the parents,,,pour water on the car to cool it,,run away,get another job,request supplies to be airdropped,give Todd her water,call his lawyer,carry her competitor on her sled
100,448,1,R_2X6d78o6Zsx8Itm,,80,50,,50,51,0,50,,20,,,50,90,70,,0,32,,41,2,1,,4,6,,steal a passing driver's car,explain the situation to his boss,,quickly try to redo the assignment,steal all of the food and water,go without Ted,read his mind,,take her to his house but no further,,,tell his sister as soon as possible,abandon his father,organize a fishing crew,,call his lawyer,steal his dogs for extra speed
100,404,1,R_8qU9xmFB3xRD2WR,0,100,0,0,,0,,,,21,,100,0,0,,14,0,73,,54,1,5,,3,5,go on strike for better wages,reschedule for a later flight,get an advance payday loan,renew her membership,,collect wood to start a fire,,,,refuse to drive her,,pretend the knife is part of a hip replacement,call the taxi company,get another job,,hike until she finds cell service,tell his lawyer that he’s sick,finish the race
100,363,1,R_3qEZ5q7uWcqVo0k,,,9,84,,73,,87,69,0,0,65,17,,68,12,21,,,32,2,5,,4,9,,,pay the money from his own wallet,pull the fire alarm,,search for a water source,,tackle him and hold him down,ram into the car,call her a cab,pour water on the car to cool it,ask to check the knife,tell his sister as soon as possible,,ration their food,yell at Todd for getting stuck,tell his lawyer that he’s sick,
100,355,1,R_AI1JaII58MVonAt,30,,0,0,0,,0,,0,30,,0,0,0,0,,,0,,47,1,5,,5,5,go on strike for better wages,,pay the money from his own wallet,borrow someone's phone,call her mom,,go without Ted,,take a detour at the next exit,refuse to drive her,,ask to check the knife,steal someone else’s ring,pitch his situation to a reality TV network,request supplies to be airdropped,,,finish the race
100,309,1,R_eFm226LbwyQIctH,0,100,0,0,100,,,100,,40,,,81,100,100,71,100,,,50,2,5,,5,7,commit credit card fraud,reschedule for a later flight,sell one of his kidneys,crawl past the front desk,quickly try to redo the assignment,,,wave to the parents,,turn invisible,,,run away,abandon his father,serve engine fuel to the passengers,get her arm stuck in solidarity,stage a break-in at the store,
100,224,1,R_2COoTmPjxh5vSJ1,0,70,,,0,,0,0,60,,100,0,20,100,,,0,50,,28,1,5,,4,8,search for the medication on the black market,take a public bus,,,call her mom,,try to buy a ticket off another person,ask the parents if they know him,tailgate the car,,light a fire under the car,ask to check the knife,borrow their mom’s wedding ring,abandon his father,,,call his lawyer,leave her dogs with him
100,230,1,R_2dgvncskpO0EyX4,12,10,,,15,,13,66,7,,10,12,14,11,,,68,80,,55,2,5,,3,5,switch insurance plans,try to convince a passing driver to trade cars,,,call her mom,,pretend they are conjoined twins,keep an eye on him,honk at the driver until they pull over,,call emergency services,store the knife in an airport locker,steal someone else’s ring,check in on his father daily,,,ask a friend to take over,hide him in the snow
100,393,1,R_pAxEgws2uJ0kufD,20,34,,79,61,66,,58,,,39,,,34,57,18,22,22,,30,2,5,,6,6,take out a loan,call a taxi,,crawl past the front desk,lie that her house burnt down,throw away all of the food,,tackle him and hold him down,,,light a fire under the car,,,abandon his father,serve engine fuel to the passengers,yell at Todd for getting stuck,leave the store unattended,call for help
100,375,1,R_2X0xSOkaLklplJV,64,32,61,,40,34,,71,,79,,94,63,,60,31,,90,,33,1,5,,6,6,go on strike for better wages,take a public bus,get an advance payday loan,,call her mom,boost morale with a three-legged race,,ask the parents if they know him,,call her a cab,,pretend the knife is part of a hip replacement,blame it on the maid of honor,,ration their food,get her arm stuck in solidarity,,hide him in the snow
100,460,1,R_2dsAhoZKhUwCR2t,,,59,34,36,24,19,,19,88,82,,32,,48,,26,71,,65,2,5,,2,6,,,explain the situation to his boss,pay for a day-pass to the gym,lie that her house burnt down,search for a water source,try to buy a ticket off another person,,take a detour at the next exit,refuse to drive her,light a fire under the car,,run away,,throw disobedient passengers off the boat,,call his lawyer,hide him in the snow
100,261,1,R_exkVMAJHfUq1n1f,80,85,100,40,75,100,,,,100,80,,100,,70,90,,100,,33,1,5,,5,7,start a fundraiser,demand that the airline delays the flight,overcharge the next customers,borrow someone's phone,quickly try to redo the assignment,collect wood to start a fire,,,,steal whatever she has on her,slash the tires,,tell his sister as soon as possible,,sell all the food to the highest bidder,leave Todd to save herself,,leave her dogs with him
100,383,1,R_0vpvEMhXzB4TxMR,,89,90,88,84,93,94,86,,93,88,81,86,86,,,,,,41,1,5,,6,2,,try to convince a passing driver to trade cars,explain the situation to his boss,lie that she left her card inside,bring in the assignment the next day,steal all of the food and water,try to buy a ticket off another person,ask the parents if they know him,,call her a cab,call emergency services,hide the knife in someone else's bag,call the taxi company,check in on his father daily,,,,
100,268,1,R_3Jl5ErvgbRiWfca,,19,73,17,33,,74,15,0,,21,14,,24,,,85,82,,34,2,5,,4,6,,call a taxi,overcharge the next customers,lie that she left her card inside,lie that her house burnt down,,pretend they are conjoined twins,wave to the parents,pull over and call 911,,ask to use the mall's loudspeaker,ask to check the knife,,get another job,,,ask a friend to take over,hide him in the snow
100,510,1,R_3lWScQzparC0RhV,60,0,,0,20,30,91,,20,,20,50,,0,,100,,60,,28,2,5,,4,7,switch insurance plans,demand that the airline delays the flight,,borrow someone's phone,bring in the assignment the next day,collect wood to start a fire,steal someone else's ticket,,tailgate the car,,slash the tires,pretend the knife is part of a hip replacement,,get another job,,saw Todd’s arm off,,call for help
100,409,1,R_SP3xEL68SR38ZvX,11,92,2,,0,,,,20,28,,100,50,,77,19,100,20,,63,2,5,,2,5,commit credit card fraud,reschedule for a later flight,sell one of his kidneys,,hypnotize the teacher,,,,honk an angry message in Morse code,steal whatever she has on her,,threaten security with the knife,run away,,throw disobedient passengers off the boat,hike until she finds cell service,stage a break-in at the store,leave her dogs with him
100,302,1,R_vNYnYneJpqBTF3b,3,,9,6,80,100,,,20,9,,9,9,,5,7,100,,,66,1,5,,5,5,switch insurance plans,,sell one of his kidneys,pay for a day-pass to the gym,copy a friend's assignment,search for a water source,,,tailgate the car,turn invisible,,take a train instead,call the taxi company,,organize a fishing crew,yell at Todd for getting stuck,leave the store unattended,
100,370,1,R_3qjHYCNwzWSBQMA,61,33,,27,,20,83,,92,9,5,,69,81,55,,37,,,45,2,5,,3,8,take out a loan,try to convince a passing driver to trade cars,,crawl past the front desk,,steal all of the food and water,steal someone else's ticket,,ram into the car,turn invisible,ask to use the mall's loudspeaker,,tell his sister as soon as possible,buy his father a tent,ration their food,,ask a friend to take over,
100,242,1,R_4SBp2JM3QcT4jVn,0,0,0,0,,0,0,,0,0,100,,,0,100,,0,,,37,2,5,,2,9,start a fundraiser,try to convince a passing driver to trade cars,get an advance payday loan,pay for a day-pass to the gym,,collect wood to start a fire,give her ticket to Ted,,take a detour at the next exit,yell in gibberish until she leaves,light a fire under the car,,,check in on his father daily,sell all the food to the highest bidder,,call his lawyer,
100,369,1,R_27D7zn9AV1YAU3I,49,35,11,81,,,,77,0,86,,100,8,,0,,70,10,,47,1,5,,6,4,commit credit card fraud,call a taxi,get an advance payday loan,pull the fire alarm,,,,make cat noises at him until he leaves,pull over and call 911,refuse to drive her,,threaten security with the knife,blame it on the maid of honor,,request supplies to be airdropped,,ask a friend to take over,finish the race
100,314,1,R_1rH7IOLXvlfOfMS,,,71,23,,22,36,,,89,77,97,18,72,14,81,,30,,58,2,5,,2,5,,,explain the situation to his boss,pay for a day-pass to the gym,,huddle to conserve energy,give her ticket to Ted,,,refuse to drive her,light a fire under the car,threaten security with the knife,borrow their mom’s wedding ring,check in on his father daily,request supplies to be airdropped,leave Todd to save herself,,carry her competitor on her sled
100,294,1,R_Rgnt8LS9X8NmwP7,,,59,,67,67,62,68,,66,83,67,64,,68,68,60,,,27,1,5,,8,6,,,explain the situation to his boss,,copy a friend's assignment,steal all of the food and water,steal someone else's ticket,tackle him and hold him down,,call her a cab,call emergency services,store the knife in an airport locker,tell his sister as soon as possible,,organize a fishing crew,yell at Todd for getting stuck,lock up the store,
100,432,1,R_1FJv7X9S5N26fC6,70,,10,90,,91,25,15,70,,80,75,,89,94,,,31,,36,2,5,,4,3,go on strike for better wages,,stage a robbery,pull the fire alarm,,boost morale with a three-legged race,steal someone else's ticket,ask the parents if they know him,honk an angry message in Morse code,,pour water on the car to cool it,hide the knife in someone else's bag,,move into his father’s apartment,request supplies to be airdropped,,,carry her competitor on her sled
100,440,1,R_3j8oVzZNniPV49G,,100,,20,20,100,71,93,51,30,0,,,0,71,30,,,,46,1,5,,5,5,,take a public bus,,lie that she left her card inside,quickly try to redo the assignment,collect wood to start a fire,try to buy a ticket off another person,keep an eye on him,honk at the driver until they pull over,steal whatever she has on her,slash the tires,,,check in on his father daily,sell all the food to the highest bidder,yell at Todd for getting stuck,,
100,237,1,R_Q66dorHCNtga1Wx,20,,,,100,90,100,100,,80,,0,,90,100,10,90,70,,49,2,5,,5,9,take out a loan,,,,bring in the assignment the next day,huddle to conserve energy,teleport into the concert,make cat noises at him until he leaves,,yell in gibberish until she leaves,,take a train instead,,abandon his father,sell all the food to the highest bidder,hike until she finds cell service,lock up the store,leave her dogs with him
100,481,1,R_PBaCUmSiKWMyhW1,18,72,8,,,62,91,,9,40,,28,9,9,,20,,82,,71,1,5,,5,4,take out a loan,reschedule for a later flight,sell one of his kidneys,,,search for a water source,steal someone else's ticket,,honk an angry message in Morse code,steal whatever she has on her,,store the knife in an airport locker,borrow their mom’s wedding ring,pitch his situation to a reality TV network,,give Todd her water,,steal his dogs for extra speed
100,461,1,R_2PaS4XNA4xADesG,60,91,9,21,,,33,,19,,,99,36,8,76,,93,90,,33,1,5,,5,7,search for the medication on the black market,reschedule for a later flight,pay the money from his own wallet,borrow someone's phone,,,try to buy a ticket off another person,,honk at the driver until they pull over,,,threaten security with the knife,borrow their mom’s wedding ring,get another job,organize a fishing crew,,stage a break-in at the store,leave her dogs with him
100,227,1,R_2tstUA5smCmd46V,49,35,12,100,28,,,,71,,36,86,,,97,11,100,26,,55,2,5,,5,5,search for the medication on the black market,call a taxi,explain the situation to his boss,pull the fire alarm,quickly try to redo the assignment,,,,honk at the driver until they pull over,,pour water on the car to cool it,pretend the knife is part of a hip replacement,,,sell all the food to the highest bidder,hike until she finds cell service,leave the store unattended,carry her competitor on her sled
100,441,1,R_RUfUfvPwyOy1GLv,70,78,,36,81,36,78,,86,71,19,66,,69,,22,,,,43,1,5,,3,8,go on strike for better wages,demand that the airline delays the flight,,renew her membership,copy a friend's assignment,boost morale with a three-legged race,pretend they are conjoined twins,,ram into the car,yell in gibberish until she leaves,ask to use the mall's loudspeaker,ask to check the knife,,check in on his father daily,,hike until she finds cell service,,
100,281,1,R_1CElmGRi2ZH5Y6B,63,7,3,,32,,,6,,,100,100,22,16,,0,100,67,,31,2,5,,5,4,search for the medication on the black market,demand that the airline delays the flight,explain the situation to his boss,,bring in the assignment the next day,,,ask the parents if they know him,,,light a fire under the car,threaten security with the knife,blame it on the maid of honor,move into his father’s apartment,,yell at Todd for getting stuck,leave the store unattended,call for help
100,385,1,R_vueVdKS35pV4t45,,,,99,,26,88,100,9,83,,96,0,15,76,2,70,,,30,2,5,,4,9,,,,crawl past the front desk,,boost morale with a three-legged race,pretend they are conjoined twins,read his mind,honk at the driver until they pull over,steal whatever she has on her,,threaten security with the knife,run away,get another job,throw disobedient passengers off the boat,give Todd her water,ask a friend to take over,
100,367,1,R_2e20yGSzWjLDDEZ,29,27,79,78,37,8,,37,,85,,,,34,79,18,,88,,30,1,2,,6,2,search for the medication on the black market,try to convince a passing driver to trade cars,stage a robbery,lie that she left her card inside,bring in the assignment the next day,collect wood to start a fire,,wave to the parents,,yell in gibberish until she leaves,,,,move into his father’s apartment,serve engine fuel to the passengers,get her arm stuck in solidarity,,steal his dogs for extra speed
100,442,1,R_3EsRnuLeC0hpLwV,50,100,50,,100,,0,60,100,,0,100,,100,,,0,100,,36,2,1,,6,8,switch insurance plans,steal a passing driver's car,stage a robbery,,lie that her house burnt down,,give her ticket to Ted,keep an eye on him,honk at the driver until they pull over,,call emergency services,take a train instead,,pitch his situation to a reality TV network,,,tell his lawyer that he’s sick,call for help
100,337,1,R_3flwpltzOSZUdaP,5,91,,0,92,,0,,100,5,,14,,39,27,,0,0,,35,2,5,,4,7,commit credit card fraud,reschedule for a later flight,,crawl past the front desk,copy a friend's assignment,,go without Ted,,ram into the car,turn invisible,,store the knife in an airport locker,,abandon his father,organize a fishing crew,,tell his lawyer that he’s sick,finish the race
100,355,1,R_2sXvlDxSOwYXpB6,,6,100,5,100,,,,2,2,0,0,,12,,41,72,0,,44,2,5,,6,5,,call a taxi,overcharge the next customers,pay for a day-pass to the gym,copy a friend's assignment,,,,pull over and call 911,call her a cab,call emergency services,ask to check the knife,,pitch his situation to a reality TV network,,hike until she finds cell service,ask a friend to take over,finish the race
100,315,1,R_cARcJ0DAREkpFWp,,71,0,0,,25,75,85,0,,0,0,60,,50,0,,,,27,1,5,,8,6,,demand that the airline delays the flight,pay the money from his own wallet,renew her membership,,collect wood to start a fire,try to buy a ticket off another person,ask the parents if they know him,tailgate the car,,pour water on the car to cool it,take a train instead,steal someone else’s ring,,ration their food,give Todd her water,,
100,383,1,R_1goQaLbovRIpKgE,0,,0,,0,0,,,0,0,0,,0,0,0,40,0,,,34,1,2,,5,7,start a fundraiser,,get an advance payday loan,,quickly try to redo the assignment,steal all of the food and water,,,tailgate the car,steal whatever she has on her,check that the doors are locked,,borrow their mom’s wedding ring,get another job,ration their food,saw Todd’s arm off,tell his lawyer that he’s sick,
100,278,1,R_1Fmqe4PZ4qRApUh,82,50,,,82,64,63,88,68,65,,86,61,92,,,88,,,53,1,5,,5,6,commit credit card fraud,call a taxi,,,quickly try to redo the assignment,huddle to conserve energy,steal someone else's ticket,wave to the parents,take a detour at the next exit,yell in gibberish until she leaves,,store the knife in an airport locker,steal someone else’s ring,move into his father’s apartment,,,lock up the store,
100,277,1,R_3DhX9q3gcMrVWko,,,19,10,,30,80,90,,91,5,,7,95,8,8,,92,,60,2,5,,5,5,,,overcharge the next customers,borrow someone's phone,,collect wood to start a fire,pretend they are conjoined twins,tackle him and hold him down,,refuse to drive her,check that the doors are locked,,run away,buy his father a tent,organize a fishing crew,give Todd her water,,hide him in the snow
100,561,1,R_xF4jnY5CquY5wrv,6,,27,,0,0,6,0,60,88,9,37,20,,,,30,,,44,2,5,,4,7,go on strike for better wages,,stage a robbery,,call her mom,throw away all of the food,teleport into the concert,wave to the parents,tailgate the car,refuse to drive her,call emergency services,ask to check the knife,steal someone else’s ring,,,,lock up the store,
100,442,1,R_pPLsXorMoZt8DoB,0,9,19,17,,18,23,81,,58,,,0,,62,73,100,,,28,2,5,,5,9,start a fundraiser,try to convince a passing driver to trade cars,overcharge the next customers,lie that she left her card inside,,steal all of the food and water,go without Ted,make cat noises at him until he leaves,,refuse to drive her,,,blame it on the maid of honor,,organize a fishing crew,get her arm stuck in solidarity,stage a break-in at the store,
100,608,1,R_1EZla48U4BUubZf,0,0,0,51,100,,100,51,,100,,,42,,,20,0,100,,29,2,5,,4,8,commit credit card fraud,steal a passing driver's car,get an advance payday loan,crawl past the front desk,copy a friend's assignment,,pretend they are conjoined twins,read his mind,,steal whatever she has on her,,,borrow their mom’s wedding ring,,,leave Todd to save herself,call his lawyer,leave her dogs with him
100,369,1,R_2qErrZIDmgNE58t,,,62,,3,4,,79,41,90,5,91,5,23,,,3,61,,36,2,1,,5,5,,,pay the money from his own wallet,,call her mom,steal all of the food and water,,read his mind,honk an angry message in Morse code,take her to his house but no further,slash the tires,pretend the knife is part of a hip replacement,call the taxi company,move into his father’s apartment,,,tell his lawyer that he’s sick,hide him in the snow
100,381,1,R_1Lj62qgDRn3FB8N,100,,,81,100,50,41,74,97,100,,100,,,80,48,,77,,35,2,1,,6,1,take out a loan,,,pull the fire alarm,lie that her house burnt down,huddle to conserve energy,give her ticket to Ted,ask the parents if they know him,take a detour at the next exit,steal whatever she has on her,,take a train instead,,,serve engine fuel to the passengers,give Todd her water,,steal his dogs for extra speed
100,798,1,R_1rjGxET5rCDOhqi,,0,,0,0,0,,,0,0,,100,0,0,,0,0,0,,60,1,5,,3,6,,reschedule for a later flight,,crawl past the front desk,hypnotize the teacher,boost morale with a three-legged race,,,pull over and call 911,take her to his house but no further,,pretend the knife is part of a hip replacement,call the taxi company,buy his father a tent,,leave Todd to save herself,stage a break-in at the store,steal his dogs for extra speed
100,384,1,R_WAwF4vwtwf0Y8HT,6,1,,18,100,,,79,,100,,100,100,100,,1,90,89,,53,1,1,,4,8,search for the medication on the black market,steal a passing driver's car,,crawl past the front desk,hypnotize the teacher,,,tackle him and hold him down,,take her to his house but no further,,hide the knife in someone else's bag,borrow their mom’s wedding ring,abandon his father,,hike until she finds cell service,tell his lawyer that he’s sick,leave her dogs with him
100,286,1,R_1lcR8q3T0JNDUx0,40,,,,,91,100,100,100,,30,30,8,92,98,50,20,,,27,2,5,,2,9,start a fundraiser,,,,,search for a water source,teleport into the concert,tackle him and hold him down,honk an angry message in Morse code,,pour water on the car to cool it,store the knife in an airport locker,run away,buy his father a tent,throw disobedient passengers off the boat,get her arm stuck in solidarity,lock up the store,
