Progress,Duration (in seconds),Finished,UserLanguage,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,331,TRUE,EN,100,100,,,100,0,0,92,0,,,82,,0,,0,81,0,,30,Female,White / Caucasian,,College Graduate (4 year),Rung 5,switch insurance plans,demand that the airline delays the flight,,,hypnotize the teacher,collect wood to start a fire,steal someone else's ticket,wave to the parents,take a detour at the next exit,,,ask to check the knife,,move into his father’s apartment,,yell at Todd for getting stuck,ask a friend to take over,finish the race
100,398,TRUE,EN,0,58,,100,,100,0,15,0,,0,,20,10,,0,34,,,36,Female,White / Caucasian,,Other,Rung 4,take out a loan,try to convince a passing driver to trade cars,,pull the fire alarm,,steal all of the food and water,give her ticket to Ted,make cat noises at him until he leaves,pull over and call 911,,check that the doors are locked,,borrow their mom’s wedding ring,check in on his father daily,,hike until she finds cell service,tell his lawyer that he’s sick,
100,190,TRUE,EN,30,30,78,60,,,1,,27,67,75,1,40,,27,,68,,,26,Male,White / Caucasian,,Some College,Rung 3,search for the medication on the black market,try to convince a passing driver to trade cars,overcharge the next customers,renew her membership,,,pretend they are conjoined twins,,honk at the driver until they pull over,steal whatever she has on her,slash the tires,take a train instead,blame it on the maid of honor,,organize a fishing crew,,tell his lawyer that he’s sick,
100,415,TRUE,EN,,,23,92,,11,90,85,92,39,1,,87,,,9,96,93,,65,Female,White / Caucasian,,College Graduate (4 year),Rung 7,,,sell one of his kidneys,lie that she left her card inside,,boost morale with a three-legged race,pretend they are conjoined twins,keep an eye on him,ram into the car,refuse to drive her,check that the doors are locked,,run away,,,saw Todd’s arm off,stage a break-in at the store,hide him in the snow
100,499,TRUE,EN,,30,100,,90,0,,100,55,,0,100,30,0,70,0,,,,48,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,demand that the airline delays the flight,stage a robbery,,copy a friend's assignment,huddle to conserve energy,,tackle him and hold him down,tailgate the car,,call emergency services,pretend the knife is part of a hip replacement,blame it on the maid of honor,check in on his father daily,serve engine fuel to the passengers,yell at Todd for getting stuck,,
100,782,TRUE,EN,9,90,,30,,9,93,71,30,29,60,,,21,40,,,19,,52,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 7,go on strike for better wages,take a public bus,,crawl past the front desk,,search for a water source,teleport into the concert,wave to the parents,pull over and call 911,yell in gibberish until she leaves,light a fire under the car,,,pitch his situation to a reality TV network,serve engine fuel to the passengers,,,carry her competitor on her sled
100,364,TRUE,EN,50,100,,100,16,56,,,,,,100,35,0,87,0,0,0,,41,Male,Hispanic / Latino,,"Professional Degree (MD, JD, etc.)",Rung 7,commit credit card fraud,demand that the airline delays the flight,,lie that she left her card inside,quickly try to redo the assignment,boost morale with a three-legged race,,,,,,hide the knife in someone else's bag,call the taxi company,get another job,ration their food,hike until she finds cell service,call his lawyer,leave her dogs with him
100,844,TRUE,EN,8,19,65,18,90,12,,60,,,,5,41,0,95,,,5,,54,Male,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 6,switch insurance plans,call a taxi,get an advance payday loan,pay for a day-pass to the gym,copy a friend's assignment,throw away all of the food,,read his mind,,,,ask to check the knife,borrow their mom’s wedding ring,move into his father’s apartment,serve engine fuel to the passengers,,,leave her dogs with him
100,1156,TRUE,EN,25,85,0,90,80,,,5,,0,,25,25,50,25,90,,,,50,Male,White / Caucasian,,Master's Degree (MS),Rung 7,search for the medication on the black market,call a taxi,pay the money from his own wallet,pay for a day-pass to the gym,copy a friend's assignment,,,ask the parents if they know him,,refuse to drive her,,store the knife in an airport locker,run away,buy his father a tent,request supplies to be airdropped,leave Todd to save herself,,
100,165,TRUE,EN,0,,0,,0,0,,0,0,0,,73,,,0,0,9,5,,44,Male,White / Caucasian,,Some College,Rung 2,take out a loan,,pay the money from his own wallet,,hypnotize the teacher,huddle to conserve energy,,wave to the parents,take a detour at the next exit,turn invisible,,ask to check the knife,,,ration their food,give Todd her water,leave the store unattended,carry her competitor on her sled
100,410,TRUE,EN,,38,29,49,,,1,19,1,39,1,61,40,50,60,,,,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 2,,take a public bus,get an advance payday loan,borrow someone's phone,,,try to buy a ticket off another person,keep an eye on him,pull over and call 911,take her to his house but no further,pour water on the car to cool it,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,pitch his situation to a reality TV network,sell all the food to the highest bidder,,,
100,507,TRUE,EN,,70,70,71,5,,40,70,,60,57,,82,30,,60,,30,,23,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 2,,try to convince a passing driver to trade cars,explain the situation to his boss,renew her membership,bring in the assignment the next day,,pretend they are conjoined twins,tackle him and hold him down,,yell in gibberish until she leaves,slash the tires,,steal someone else’s ring,get another job,,leave Todd to save herself,,call for help
100,1911,TRUE,EN,61,,91,,37,40,100,70,0,40,20,,,,,78,60,15,,38,Male,White / Caucasian,,Master's Degree (MS),Rung 5,commit credit card fraud,,stage a robbery,,lie that her house burnt down,throw away all of the food,steal someone else's ticket,read his mind,ram into the car,yell in gibberish until she leaves,check that the doors are locked,,,,,saw Todd’s arm off,lock up the store,finish the race
100,405,TRUE,EN,,100,50,100,,80,100,100,70,0,,,,60,0,,100,100,,50,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,,steal a passing driver's car,sell one of his kidneys,lie that she left her card inside,,collect wood to start a fire,steal someone else's ticket,make cat noises at him until he leaves,honk at the driver until they pull over,call her a cab,,,,abandon his father,throw disobedient passengers off the boat,,stage a break-in at the store,steal his dogs for extra speed
100,565,TRUE,EN,7,20,,29,,9,50,,50,,0,50,94,95,9,,50,,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 5,start a fundraiser,call a taxi,,crawl past the front desk,,steal all of the food and water,go without Ted,,honk an angry message in Morse code,,ask to use the mall's loudspeaker,store the knife in an airport locker,tell his sister as soon as possible,check in on his father daily,organize a fishing crew,,ask a friend to take over,
100,946,TRUE,EN,75,61,,19,72,,,,,40,0,35,76,40,50,100,,60,,47,Male,White / Caucasian,,College Graduate (4 year),Rung 7,switch insurance plans,reschedule for a later flight,,pull the fire alarm,call her mom,,,,,turn invisible,call emergency services,threaten security with the knife,borrow their mom’s wedding ring,check in on his father daily,organize a fishing crew,yell at Todd for getting stuck,,hide him in the snow
100,207,TRUE,EN,3,,7,,3,2,1,5,2,,1,3,5,,,2,2,,,34,Male,White / Caucasian,,Master's Degree (MS),Rung 7,start a fundraiser,,overcharge the next customers,,lie that her house burnt down,steal all of the food and water,give her ticket to Ted,read his mind,tailgate the car,,check that the doors are locked,store the knife in an airport locker,tell his sister as soon as possible,,,get her arm stuck in solidarity,tell his lawyer that he’s sick,
100,406,TRUE,EN,0,35,,99,,20,88,83,0,0,,,98,5,11,,,100,,44,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,search for the medication on the black market,call a taxi,,pull the fire alarm,,collect wood to start a fire,pretend they are conjoined twins,tackle him and hold him down,pull over and call 911,refuse to drive her,,,run away,move into his father’s apartment,request supplies to be airdropped,,,steal his dogs for extra speed
100,257,TRUE,EN,,60,0,,1,,,,100,49,0,100,19,60,91,0,100,,,28,Female,White / Caucasian,,College Graduate (4 year),Rung 2,,take a public bus,explain the situation to his boss,,bring in the assignment the next day,,,,tailgate the car,take her to his house but no further,pour water on the car to cool it,hide the knife in someone else's bag,call the taxi company,pitch his situation to a reality TV network,serve engine fuel to the passengers,give Todd her water,leave the store unattended,
100,1580,TRUE,EN,0,,100,100,0,0,59,100,,,0,81,,,,0,100,29,,68,Female,White / Caucasian,,High School or equivalent,Rung 5,take out a loan,,stage a robbery,lie that she left her card inside,call her mom,boost morale with a three-legged race,teleport into the concert,keep an eye on him,,,call emergency services,pretend the knife is part of a hip replacement,,,,hike until she finds cell service,stage a break-in at the store,leave her dogs with him
100,289,TRUE,EN,,92,,80,2,19,70,18,,21,0,92,32,91,83,,,,,53,Male,White / Caucasian,,Master's Degree (MS),Rung 7,,try to convince a passing driver to trade cars,,renew her membership,hypnotize the teacher,collect wood to start a fire,steal someone else's ticket,ask the parents if they know him,,take her to his house but no further,check that the doors are locked,take a train instead,steal someone else’s ring,buy his father a tent,throw disobedient passengers off the boat,,,
100,285,TRUE,EN,59,40,91,,40,15,10,,60,0,60,,,65,15,0,,,,20,Male,White / Caucasian,,Some College,Rung 7,go on strike for better wages,try to convince a passing driver to trade cars,overcharge the next customers,,lie that her house burnt down,huddle to conserve energy,pretend they are conjoined twins,,ram into the car,take her to his house but no further,slash the tires,,,buy his father a tent,ration their food,yell at Todd for getting stuck,,
100,253,TRUE,EN,,11,,50,1,1,,,77,1,,98,99,0,72,1,,1,,30,Male,Black / African American,,Some College,Rung 1 (Bottom Rung),,try to convince a passing driver to trade cars,,borrow someone's phone,call her mom,huddle to conserve energy,,,ram into the car,call her a cab,,take a train instead,blame it on the maid of honor,get another job,organize a fishing crew,leave Todd to save herself,,call for help
100,331,TRUE,EN,,,100,0,,0,0,0,100,,100,100,100,100,0,,,0,,36,Female,White / Caucasian,,Some College,Rung 4,,,overcharge the next customers,pay for a day-pass to the gym,,search for a water source,go without Ted,ask the parents if they know him,ram into the car,,light a fire under the car,threaten security with the knife,run away,abandon his father,serve engine fuel to the passengers,,,call for help
100,301,TRUE,EN,,26,6,37,56,1,,1,2,,0,,67,,100,,29,2,,43,Male,White / Caucasian,,Some College,Rung 3,,steal a passing driver's car,sell one of his kidneys,pull the fire alarm,bring in the assignment the next day,throw away all of the food,,read his mind,tailgate the car,,call emergency services,,steal someone else’s ring,,serve engine fuel to the passengers,,lock up the store,carry her competitor on her sled
100,351,TRUE,EN,0,1,,100,100,,,100,100,0,,100,,,0,1,100,79,,30,Female,White / Caucasian,,College Graduate (4 year),Rung 4,search for the medication on the black market,call a taxi,,renew her membership,lie that her house burnt down,,,make cat noises at him until he leaves,tailgate the car,yell in gibberish until she leaves,,hide the knife in someone else's bag,,,sell all the food to the highest bidder,get her arm stuck in solidarity,ask a friend to take over,steal his dogs for extra speed
100,304,TRUE,EN,67,75,9,,86,23,,80,,,,72,58,25,63,,54,3,,58,Female,White / Caucasian,,College Graduate (4 year),Rung 8,commit credit card fraud,steal a passing driver's car,explain the situation to his boss,,hypnotize the teacher,throw away all of the food,,tackle him and hold him down,,,,threaten security with the knife,call the taxi company,move into his father’s apartment,sell all the food to the highest bidder,,lock up the store,finish the race
100,393,TRUE,EN,10,100,20,,,,100,70,0,,80,40,,,25,0,40,100,,40,Male,Asian / Pacific Islander,,"Professional Degree (MD, JD, etc.)",Rung 5,commit credit card fraud,take a public bus,get an advance payday loan,,,,steal someone else's ticket,keep an eye on him,take a detour at the next exit,,light a fire under the car,ask to check the knife,,,organize a fishing crew,yell at Todd for getting stuck,call his lawyer,hide him in the snow
100,291,TRUE,EN,0,100,81,,,0,0,100,40,0,100,,35,,0,,20,,,25,Male,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,reschedule for a later flight,get an advance payday loan,,,boost morale with a three-legged race,give her ticket to Ted,tackle him and hold him down,honk at the driver until they pull over,yell in gibberish until she leaves,light a fire under the car,,steal someone else’s ring,,ration their food,,lock up the store,
100,242,TRUE,EN,0,58,3,,67,3,,41,,0,0,81,26,15,,,97,,,48,Female,White / Caucasian,,Master's Degree (MS),Rung 6,take out a loan,demand that the airline delays the flight,pay the money from his own wallet,,quickly try to redo the assignment,search for a water source,,tackle him and hold him down,,call her a cab,pour water on the car to cool it,store the knife in an airport locker,steal someone else’s ring,buy his father a tent,,,stage a break-in at the store,
100,367,TRUE,EN,50,100,50,,,100,100,,,,50,30,100,100,,50,100,50,,32,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 8,switch insurance plans,reschedule for a later flight,get an advance payday loan,,,boost morale with a three-legged race,pretend they are conjoined twins,,,,slash the tires,ask to check the knife,blame it on the maid of honor,buy his father a tent,,get her arm stuck in solidarity,leave the store unattended,call for help
100,328,TRUE,EN,0,68,,86,95,10,,93,,67,,100,,100,5,36,87,,,25,Female,White / Caucasian,,College Graduate (4 year),Rung 7,switch insurance plans,demand that the airline delays the flight,,crawl past the front desk,copy a friend's assignment,huddle to conserve energy,,read his mind,,call her a cab,,threaten security with the knife,,abandon his father,organize a fishing crew,saw Todd’s arm off,leave the store unattended,
100,316,TRUE,EN,,,,100,1,1,,98,3,100,100,100,,1,4,1,1,,,40,Male,Black / African American,,College Graduate (4 year),Rung 4,,,,crawl past the front desk,quickly try to redo the assignment,search for a water source,,ask the parents if they know him,honk at the driver until they pull over,refuse to drive her,check that the doors are locked,ask to check the knife,,pitch his situation to a reality TV network,request supplies to be airdropped,yell at Todd for getting stuck,tell his lawyer that he’s sick,
100,329,TRUE,EN,,,,59,60,50,83,71,0,2,0,,1,,82,2,90,,,70,Female,White / Caucasian,,Some College,Rung 5,,,,crawl past the front desk,bring in the assignment the next day,search for a water source,pretend they are conjoined twins,read his mind,pull over and call 911,refuse to drive her,call emergency services,,call the taxi company,,request supplies to be airdropped,get her arm stuck in solidarity,leave the store unattended,
100,400,TRUE,EN,0,90,,100,,,100,,100,0,0,10,40,0,,70,,0,,48,Male,White / Caucasian,,Some College,Rung 2,switch insurance plans,take a public bus,,crawl past the front desk,,,teleport into the concert,,ram into the car,refuse to drive her,ask to use the mall's loudspeaker,take a train instead,tell his sister as soon as possible,check in on his father daily,,get her arm stuck in solidarity,,finish the race
100,440,TRUE,EN,,,0,85,5,10,10,1,10,80,,,1,,0,,90,50,,36,Other,White / Caucasian,,Master's Degree (MS),Rung 4,,,sell one of his kidneys,pull the fire alarm,quickly try to redo the assignment,steal all of the food and water,try to buy a ticket off another person,wave to the parents,honk an angry message in Morse code,steal whatever she has on her,,,blame it on the maid of honor,,request supplies to be airdropped,,stage a break-in at the store,hide him in the snow
100,110,TRUE,EN,98,87,82,,,87,85,,85,,,,89,91,89,96,91,93,,45,Male,Black / African American,,College Graduate (4 year),Rung 9,commit credit card fraud,try to convince a passing driver to trade cars,stage a robbery,,,steal all of the food and water,teleport into the concert,,honk an angry message in Morse code,,,,call the taxi company,buy his father a tent,request supplies to be airdropped,leave Todd to save herself,lock up the store,hide him in the snow
100,219,TRUE,EN,7,,99,,,93,32,,,1,6,100,82,30,,0,100,40,,34,Male,White / Caucasian,,College Graduate (4 year),Rung 6,go on strike for better wages,,overcharge the next customers,,,steal all of the food and water,try to buy a ticket off another person,,,yell in gibberish until she leaves,pour water on the car to cool it,hide the knife in someone else's bag,blame it on the maid of honor,pitch his situation to a reality TV network,,hike until she finds cell service,stage a break-in at the store,finish the race
100,276,TRUE,EN,,30,0,100,0,,0,,23,60,,100,100,,100,,50,0,,33,Male,White / Caucasian,,College Graduate (4 year),Rung 1 (Bottom Rung),,call a taxi,sell one of his kidneys,crawl past the front desk,quickly try to redo the assignment,,try to buy a ticket off another person,,tailgate the car,steal whatever she has on her,,pretend the knife is part of a hip replacement,run away,,serve engine fuel to the passengers,,ask a friend to take over,finish the race
100,480,TRUE,EN,30,40,,65,36,,,35,,25,10,75,65,,85,5,60,,,51,Female,White / Caucasian,,College Graduate (4 year),Rung 6,go on strike for better wages,try to convince a passing driver to trade cars,,lie that she left her card inside,quickly try to redo the assignment,,,ask the parents if they know him,,turn invisible,ask to use the mall's loudspeaker,hide the knife in someone else's bag,borrow their mom’s wedding ring,,throw disobedient passengers off the boat,give Todd her water,ask a friend to take over,
100,129,TRUE,EN,37,,23,,,53,39,19,56,,,17,75,,57,47,5,18,,31,Male,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,,get an advance payday loan,,,collect wood to start a fire,go without Ted,make cat noises at him until he leaves,pull over and call 911,,,threaten security with the knife,steal someone else’s ring,,sell all the food to the highest bidder,hike until she finds cell service,call his lawyer,finish the race
100,241,TRUE,EN,,85,100,56,1,9,,70,0,9,0,,65,,0,,81,,,52,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,try to convince a passing driver to trade cars,stage a robbery,pay for a day-pass to the gym,quickly try to redo the assignment,huddle to conserve energy,,wave to the parents,honk an angry message in Morse code,take her to his house but no further,pour water on the car to cool it,,tell his sister as soon as possible,,ration their food,,leave the store unattended,
100,247,TRUE,EN,20,,,49,19,,56,52,,,9,88,58,13,,15,50,9,,31,Male,White / Caucasian,,College Graduate (4 year),Rung 5,start a fundraiser,,,renew her membership,lie that her house burnt down,,teleport into the concert,keep an eye on him,,,ask to use the mall's loudspeaker,take a train instead,borrow their mom’s wedding ring,check in on his father daily,,hike until she finds cell service,tell his lawyer that he’s sick,call for help
100,240,TRUE,EN,10,40,20,,20,35,1,,95,0,,,,0,6,85,,100,,42,Male,White / Caucasian,,Master's Degree (MS),Rung 6,search for the medication on the black market,call a taxi,stage a robbery,,lie that her house burnt down,huddle to conserve energy,go without Ted,,pull over and call 911,turn invisible,,,,check in on his father daily,throw disobedient passengers off the boat,saw Todd’s arm off,,hide him in the snow
100,479,TRUE,EN,,50,1,,100,,1,9,1,1,29,,,82,1,1,,8,,64,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 7,,reschedule for a later flight,pay the money from his own wallet,,hypnotize the teacher,,try to buy a ticket off another person,wave to the parents,honk an angry message in Morse code,refuse to drive her,slash the tires,,,abandon his father,sell all the food to the highest bidder,yell at Todd for getting stuck,,leave her dogs with him
100,468,TRUE,EN,71,,,62,100,,70,100,,0,0,30,,10,,19,8,100,,52,Male,White / Caucasian,,High School or equivalent,Rung 4,go on strike for better wages,,,crawl past the front desk,hypnotize the teacher,,try to buy a ticket off another person,keep an eye on him,,turn invisible,ask to use the mall's loudspeaker,take a train instead,,pitch his situation to a reality TV network,,leave Todd to save herself,leave the store unattended,steal his dogs for extra speed
100,317,TRUE,EN,0,100,7,,,22,0,,,9,10,100,54,,5,100,,41,,35,Female,White / Caucasian,,Master's Degree (MS),Rung 6,start a fundraiser,try to convince a passing driver to trade cars,pay the money from his own wallet,,,search for a water source,go without Ted,,,call her a cab,ask to use the mall's loudspeaker,hide the knife in someone else's bag,borrow their mom’s wedding ring,,request supplies to be airdropped,leave Todd to save herself,,finish the race
100,397,TRUE,EN,40,55,5,75,5,,,75,,0,45,100,35,,,,0,40,,25,Female,White / Caucasian,,Master's Degree (MS),Rung 7,take out a loan,take a public bus,overcharge the next customers,lie that she left her card inside,bring in the assignment the next day,,,read his mind,,take her to his house but no further,call emergency services,threaten security with the knife,blame it on the maid of honor,,,,tell his lawyer that he’s sick,leave her dogs with him
100,267,TRUE,EN,8,54,36,40,56,80,,,7,0,0,,78,,40,,,21,,25,Female,White / Caucasian,,High School or equivalent,Rung 3,go on strike for better wages,call a taxi,sell one of his kidneys,lie that she left her card inside,copy a friend's assignment,boost morale with a three-legged race,,,take a detour at the next exit,call her a cab,check that the doors are locked,,blame it on the maid of honor,,organize a fishing crew,,,leave her dogs with him
100,316,TRUE,EN,,100,0,100,,0,100,50,50,50,,100,,,50,0,,0,,57,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 5,,call a taxi,explain the situation to his boss,renew her membership,,steal all of the food and water,steal someone else's ticket,read his mind,tailgate the car,call her a cab,,store the knife in an airport locker,,,throw disobedient passengers off the boat,give Todd her water,,hide him in the snow
100,271,TRUE,EN,20,,1,,,100,,23,51,1,,100,42,1,31,,92,1,,43,Male,White / Caucasian,,College Graduate (4 year),Rung 7,search for the medication on the black market,,pay the money from his own wallet,,,boost morale with a three-legged race,,ask the parents if they know him,honk at the driver until they pull over,turn invisible,,pretend the knife is part of a hip replacement,call the taxi company,move into his father’s apartment,sell all the food to the highest bidder,,lock up the store,call for help
100,423,TRUE,EN,18,1,,1,63,7,,82,,77,1,,,1,,1,85,1,,36,Male,White / Caucasian,,College Graduate (4 year),Rung 4,start a fundraiser,steal a passing driver's car,,borrow someone's phone,call her mom,collect wood to start a fire,,tackle him and hold him down,,yell in gibberish until she leaves,call emergency services,,,move into his father’s apartment,,give Todd her water,ask a friend to take over,leave her dogs with him
100,488,TRUE,EN,,,33,,70,50,59,78,55,19,,80,,16,21,,0,3,,22,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 4,,,pay the money from his own wallet,,copy a friend's assignment,huddle to conserve energy,teleport into the concert,keep an eye on him,honk at the driver until they pull over,turn invisible,,hide the knife in someone else's bag,,move into his father’s apartment,organize a fishing crew,,tell his lawyer that he’s sick,call for help
100,342,TRUE,EN,0,20,,90,100,,,100,75,,100,95,0,0,5,,80,,,50,Male,White / Caucasian,,College Graduate (4 year),Rung 7,start a fundraiser,demand that the airline delays the flight,,lie that she left her card inside,lie that her house burnt down,,,ask the parents if they know him,honk at the driver until they pull over,,light a fire under the car,ask to check the knife,borrow their mom’s wedding ring,check in on his father daily,ration their food,,tell his lawyer that he’s sick,
100,235,TRUE,EN,85,75,20,,69,91,,85,,5,,60,,5,95,25,65,,,38,Male,Hispanic / Latino,,Master's Degree (MS),Rung 6,go on strike for better wages,take a public bus,pay the money from his own wallet,,bring in the assignment the next day,boost morale with a three-legged race,,read his mind,,yell in gibberish until she leaves,,store the knife in an airport locker,,abandon his father,throw disobedient passengers off the boat,hike until she finds cell service,leave the store unattended,
100,420,TRUE,EN,69,,10,100,0,79,0,,10,,,100,26,0,100,100,,,,41,Female,White / Caucasian,,Some College,Rung 1 (Bottom Rung),switch insurance plans,,overcharge the next customers,pay for a day-pass to the gym,call her mom,boost morale with a three-legged race,go without Ted,,honk at the driver until they pull over,,,pretend the knife is part of a hip replacement,run away,buy his father a tent,serve engine fuel to the passengers,get her arm stuck in solidarity,,
100,274,TRUE,EN,70,,95,,100,78,80,,100,94,100,100,,71,,,53,89,,25,Female,Hispanic / Latino,,College Graduate (4 year),Rung 6,switch insurance plans,,explain the situation to his boss,,call her mom,throw away all of the food,give her ticket to Ted,,ram into the car,refuse to drive her,call emergency services,hide the knife in someone else's bag,,move into his father’s apartment,,,tell his lawyer that he’s sick,call for help
100,587,TRUE,EN,70,,0,60,30,0,,,0,0,,,10,0,,0,80,8,,72,Female,White / Caucasian,,Master's Degree (MS),Rung 6,commit credit card fraud,,explain the situation to his boss,borrow someone's phone,copy a friend's assignment,huddle to conserve energy,,,take a detour at the next exit,refuse to drive her,,,borrow their mom’s wedding ring,get another job,,give Todd her water,stage a break-in at the store,carry her competitor on her sled
100,559,TRUE,EN,15,,1,55,10,10,,55,35,60,,55,80,10,,,15,,,61,Female,White / Caucasian,,High School or equivalent,Rung 5,switch insurance plans,,pay the money from his own wallet,pay for a day-pass to the gym,bring in the assignment the next day,huddle to conserve energy,,make cat noises at him until he leaves,pull over and call 911,steal whatever she has on her,,store the knife in an airport locker,blame it on the maid of honor,move into his father’s apartment,,,call his lawyer,
100,577,TRUE,EN,,50,,85,0,,10,25,,50,100,100,35,,0,,16,100,,38,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,call a taxi,,lie that she left her card inside,copy a friend's assignment,,give her ticket to Ted,keep an eye on him,,steal whatever she has on her,light a fire under the car,threaten security with the knife,call the taxi company,,ration their food,,call his lawyer,hide him in the snow
