Progress,Duration (in seconds),Finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,452,TRUE,,51,,71,,31,,71,1,1,21,,9,1,41,39,1,,,53,Female,White / Caucasian,,Master's Degree (MS),Rung 4,,steal a passing driver's car,,borrow someone's phone,,boost morale with a three-legged race,,read his mind,take a detour at the next exit,take her to his house but no further,call emergency services,,borrow their mom’s wedding ring,pitch his situation to a reality TV network,organize a fishing crew,saw Todd’s arm off,call his lawyer,
100,456,TRUE,51,,100,20,,25,0,3,100,,75,99,,0,70,,98,,,39,Female,White / Caucasian,,Some College,Rung 6,commit credit card fraud,,stage a robbery,pay for a day-pass to the gym,,search for a water source,go without Ted,ask the parents if they know him,ram into the car,,slash the tires,pretend the knife is part of a hip replacement,,move into his father’s apartment,request supplies to be airdropped,,stage a break-in at the store,
100,529,TRUE,30,,,100,100,0,,80,,0,,100,50,60,70,,100,90,,33,Female,White / Caucasian,,High School or equivalent,Rung 2,switch insurance plans,,,lie that she left her card inside,copy a friend's assignment,huddle to conserve energy,,tackle him and hold him down,,call her a cab,,hide the knife in someone else's bag,tell his sister as soon as possible,buy his father a tent,organize a fishing crew,,stage a break-in at the store,hide him in the snow
100,463,TRUE,70,,,,,,10,10,,20,1,18,50,1,52,30,31,3,,44,Female,Asian / Pacific Islander,,Some College,Rung 2,search for the medication on the black market,,,,,,teleport into the concert,keep an eye on him,,take her to his house but no further,check that the doors are locked,take a train instead,tell his sister as soon as possible,move into his father’s apartment,serve engine fuel to the passengers,hike until she finds cell service,call his lawyer,finish the race
100,561,TRUE,,2,,60,2,100,,,,51,100,50,2,2,60,1,,1,,68,Female,White / Caucasian,,Some College,Rung 5,,call a taxi,,borrow someone's phone,hypnotize the teacher,throw away all of the food,,,,take her to his house but no further,light a fire under the car,store the knife in an airport locker,borrow their mom’s wedding ring,check in on his father daily,ration their food,give Todd her water,,leave her dogs with him
100,587,TRUE,81,,90,60,91,0,29,10,60,,,50,,0,,,0,1,,67,Male,White / Caucasian,,High School or equivalent,Rung 4,go on strike for better wages,,overcharge the next customers,crawl past the front desk,quickly try to redo the assignment,huddle to conserve energy,try to buy a ticket off another person,read his mind,honk at the driver until they pull over,,,store the knife in an airport locker,,get another job,,,tell his lawyer that he’s sick,call for help
100,640,TRUE,0,20,10,,0,,50,20,0,0,,60,60,,,50,,100,,44,Female,Black / African American,,Master's Degree (MS),Rung 4,switch insurance plans,demand that the airline delays the flight,explain the situation to his boss,,call her mom,,pretend they are conjoined twins,wave to the parents,pull over and call 911,refuse to drive her,,ask to check the knife,call the taxi company,,,get her arm stuck in solidarity,,hide him in the snow
100,650,TRUE,50,35,39,50,50,,98,23,10,50,,100,90,,,85,,,,28,Female,Other,Mixed Race ,Some College,Rung 5,search for the medication on the black market,take a public bus,explain the situation to his boss,pull the fire alarm,bring in the assignment the next day,,steal someone else's ticket,tackle him and hold him down,take a detour at the next exit,turn invisible,,threaten security with the knife,blame it on the maid of honor,,,leave Todd to save herself,,
100,933,TRUE,0,12,9,,,11,51,19,100,,,65,,0,,0,56,0,,28,Female,White / Caucasian,,Some College,Rung 7,go on strike for better wages,steal a passing driver's car,explain the situation to his boss,,,search for a water source,steal someone else's ticket,wave to the parents,ram into the car,,,store the knife in an airport locker,,pitch his situation to a reality TV network,,yell at Todd for getting stuck,leave the store unattended,leave her dogs with him
100,388,TRUE,39,16,,,,27,95,,,41,4,,82,88,60,10,91,84,,44,Female,White / Caucasian,,High School or equivalent,Rung 4,commit credit card fraud,call a taxi,,,,boost morale with a three-legged race,steal someone else's ticket,,,call her a cab,ask to use the mall's loudspeaker,,run away,abandon his father,throw disobedient passengers off the boat,hike until she finds cell service,stage a break-in at the store,steal his dogs for extra speed
100,958,TRUE,,10,100,85,100,0,,,75,100,80,,65,,100,0,,100,,41,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 7,,take a public bus,overcharge the next customers,renew her membership,copy a friend's assignment,collect wood to start a fire,,,ram into the car,steal whatever she has on her,pour water on the car to cool it,,borrow their mom’s wedding ring,,serve engine fuel to the passengers,saw Todd’s arm off,,steal his dogs for extra speed
100,468,TRUE,0,50,0,50,51,,0,,100,100,0,,100,0,,0,,,,28,Female,White / Caucasian,,College Graduate (4 year),Rung 6,take out a loan,try to convince a passing driver to trade cars,sell one of his kidneys,crawl past the front desk,copy a friend's assignment,,give her ticket to Ted,,tailgate the car,turn invisible,check that the doors are locked,,steal someone else’s ring,get another job,,give Todd her water,,
100,749,TRUE,,,51,20,60,0,,76,0,,40,0,,0,63,,0,0,,54,Male,White / Caucasian,,Master's Degree (MS),Rung 7,,,get an advance payday loan,pay for a day-pass to the gym,lie that her house burnt down,steal all of the food and water,,make cat noises at him until he leaves,pull over and call 911,,pour water on the car to cool it,ask to check the knife,,buy his father a tent,ration their food,,lock up the store,carry her competitor on her sled
100,236,TRUE,52,56,,54,,42,,47,55,,,58,,66,59,59,70,52,,29,Male,White / Caucasian,,College Graduate (4 year),Rung 8,start a fundraiser,reschedule for a later flight,,renew her membership,,throw away all of the food,,ask the parents if they know him,honk an angry message in Morse code,,,pretend the knife is part of a hip replacement,,check in on his father daily,request supplies to be airdropped,get her arm stuck in solidarity,tell his lawyer that he’s sick,finish the race
100,340,TRUE,,,86,,83,33,19,21,,0,0,44,68,,70,,1,21,,33,Male,White / Caucasian,,College Graduate (4 year),Rung 4,,,stage a robbery,,hypnotize the teacher,collect wood to start a fire,try to buy a ticket off another person,keep an eye on him,,yell in gibberish until she leaves,call emergency services,take a train instead,call the taxi company,,sell all the food to the highest bidder,,ask a friend to take over,call for help
100,208,TRUE,,,,91,6,,100,5,,0,40,67,78,5,83,50,,100,,28,Female,White / Caucasian,,Some College,Rung 5,,,,lie that she left her card inside,quickly try to redo the assignment,,pretend they are conjoined twins,ask the parents if they know him,,call her a cab,pour water on the car to cool it,store the knife in an airport locker,tell his sister as soon as possible,check in on his father daily,sell all the food to the highest bidder,saw Todd’s arm off,,steal his dogs for extra speed
100,664,TRUE,0,10,8,,,0,0,55,0,,100,100,,0,0,,15,,,46,Female,White / Caucasian,,College Graduate (4 year),Rung 5,start a fundraiser,reschedule for a later flight,explain the situation to his boss,,,huddle to conserve energy,give her ticket to Ted,tackle him and hold him down,pull over and call 911,,light a fire under the car,pretend the knife is part of a hip replacement,,move into his father’s apartment,request supplies to be airdropped,,lock up the store,
100,347,TRUE,50,100,0,49,100,0,,,20,0,,,0,,,50,100,100,,66,Male,White / Caucasian,,Some College,Rung 3,take out a loan,demand that the airline delays the flight,get an advance payday loan,pay for a day-pass to the gym,copy a friend's assignment,steal all of the food and water,,,honk an angry message in Morse code,steal whatever she has on her,,,borrow their mom’s wedding ring,,,leave Todd to save herself,stage a break-in at the store,hide him in the snow
100,311,TRUE,,,0,100,74,,100,60,0,0,0,100,,89,,,0,0,,38,Female,Hispanic / Latino,,Master's Degree (MS),Rung 6,,,pay the money from his own wallet,crawl past the front desk,hypnotize the teacher,,steal someone else's ticket,read his mind,take a detour at the next exit,turn invisible,check that the doors are locked,threaten security with the knife,,abandon his father,,,tell his lawyer that he’s sick,call for help
100,97,TRUE,52,88,,,85,62,74,73,,,56,77,72,,94,90,64,,,41,Male,Black / African American,,Master's Degree (MS),Rung 5,switch insurance plans,call a taxi,,,lie that her house burnt down,throw away all of the food,teleport into the concert,make cat noises at him until he leaves,,,ask to use the mall's loudspeaker,ask to check the knife,blame it on the maid of honor,,throw disobedient passengers off the boat,get her arm stuck in solidarity,leave the store unattended,
100,400,TRUE,0,0,0,30,,75,,,100,10,,,100,100,100,0,,0,,27,Female,White / Caucasian,,High School or equivalent,Rung 3,search for the medication on the black market,take a public bus,sell one of his kidneys,borrow someone's phone,,collect wood to start a fire,,,ram into the car,yell in gibberish until she leaves,,,steal someone else’s ring,pitch his situation to a reality TV network,serve engine fuel to the passengers,give Todd her water,,leave her dogs with him
100,225,TRUE,0,77,100,,100,100,80,71,100,,100,,,100,,0,,0,,39,Male,White / Caucasian,,Some College,Rung 4,go on strike for better wages,try to convince a passing driver to trade cars,stage a robbery,,quickly try to redo the assignment,throw away all of the food,pretend they are conjoined twins,keep an eye on him,honk at the driver until they pull over,,slash the tires,,,buy his father a tent,,yell at Todd for getting stuck,,carry her competitor on her sled
100,267,TRUE,,23,80,48,,32,33,35,62,3,,54,81,,20,,20,,,23,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,try to convince a passing driver to trade cars,stage a robbery,pay for a day-pass to the gym,,boost morale with a three-legged race,teleport into the concert,keep an eye on him,tailgate the car,take her to his house but no further,,pretend the knife is part of a hip replacement,steal someone else’s ring,,ration their food,,call his lawyer,
100,215,TRUE,46,55,4,53,,45,,35,51,,,,60,,32,54,56,53,,37,Female,White / Caucasian,,Master's Degree (MS),Rung 7,search for the medication on the black market,call a taxi,get an advance payday loan,borrow someone's phone,,search for a water source,,wave to the parents,tailgate the car,,,,run away,,request supplies to be airdropped,get her arm stuck in solidarity,ask a friend to take over,finish the race
100,202,TRUE,62,33,100,,0,1,100,50,,,,40,9,35,,,100,0,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 7,commit credit card fraud,take a public bus,overcharge the next customers,,call her mom,throw away all of the food,steal someone else's ticket,tackle him and hold him down,,,,take a train instead,call the taxi company,pitch his situation to a reality TV network,,,stage a break-in at the store,call for help
100,234,TRUE,71,,,100,,54,,,83,1,1,93,72,100,3,62,58,,,46,Female,White / Caucasian,,Some College,Rung 2,go on strike for better wages,,,pull the fire alarm,,collect wood to start a fire,,,honk an angry message in Morse code,call her a cab,call emergency services,hide the knife in someone else's bag,blame it on the maid of honor,buy his father a tent,throw disobedient passengers off the boat,leave Todd to save herself,ask a friend to take over,
100,382,TRUE,20,,,90,94,,,,,51,19,96,79,8,42,2,1,3,,39,Male,White / Caucasian,,College Graduate (4 year),Rung 4,search for the medication on the black market,,,lie that she left her card inside,lie that her house burnt down,,,,,steal whatever she has on her,call emergency services,store the knife in an airport locker,borrow their mom’s wedding ring,move into his father’s apartment,organize a fishing crew,hike until she finds cell service,tell his lawyer that he’s sick,call for help
100,227,TRUE,52,,72,28,84,,28,58,47,,,72,,68,41,,63,55,,27,Male,White / Caucasian,,College Graduate (4 year),Rung 5,search for the medication on the black market,,overcharge the next customers,renew her membership,call her mom,,teleport into the concert,make cat noises at him until he leaves,take a detour at the next exit,,,pretend the knife is part of a hip replacement,,buy his father a tent,serve engine fuel to the passengers,,lock up the store,leave her dogs with him
100,362,TRUE,0,60,10,,50,0,50,20,0,0,0,90,,,,,,0,,36,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,start a fundraiser,steal a passing driver's car,stage a robbery,,hypnotize the teacher,huddle to conserve energy,pretend they are conjoined twins,read his mind,honk at the driver until they pull over,yell in gibberish until she leaves,call emergency services,store the knife in an airport locker,,,,,,carry her competitor on her sled
100,257,TRUE,,81,,60,0,2,,9,0,23,0,100,,0,,37,,100,,26,Female,White / Caucasian,,Master's Degree (MS),Rung 7,,steal a passing driver's car,,lie that she left her card inside,quickly try to redo the assignment,collect wood to start a fire,,ask the parents if they know him,pull over and call 911,refuse to drive her,ask to use the mall's loudspeaker,threaten security with the knife,,move into his father’s apartment,,leave Todd to save herself,,hide him in the snow
100,477,TRUE,15,50,10,65,50,,45,60,,10,0,,,,60,70,10,,,27,Female,White / Caucasian,,Some College,Rung 5,commit credit card fraud,try to convince a passing driver to trade cars,get an advance payday loan,pull the fire alarm,lie that her house burnt down,,go without Ted,keep an eye on him,,yell in gibberish until she leaves,ask to use the mall's loudspeaker,,,,request supplies to be airdropped,hike until she finds cell service,ask a friend to take over,
100,458,TRUE,,0,,40,100,0,,,0,0,0,60,,0,100,0,25,,,43,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,reschedule for a later flight,,pay for a day-pass to the gym,hypnotize the teacher,search for a water source,,,pull over and call 911,turn invisible,pour water on the car to cool it,store the knife in an airport locker,,get another job,sell all the food to the highest bidder,give Todd her water,lock up the store,
100,380,TRUE,76,65,0,100,,0,0,0,,,10,,,,18,0,0,18,,44,Female,White / Caucasian,,Some College,Rung 5,start a fundraiser,try to convince a passing driver to trade cars,sell one of his kidneys,pull the fire alarm,,collect wood to start a fire,try to buy a ticket off another person,ask the parents if they know him,,,pour water on the car to cool it,,,,throw disobedient passengers off the boat,hike until she finds cell service,leave the store unattended,carry her competitor on her sled
100,476,TRUE,0,,,50,,16,0,0,95,,20,100,30,73,,,100,37,,34,Female,White / Caucasian,,Master's Degree (MS),Rung 5,switch insurance plans,,,crawl past the front desk,,boost morale with a three-legged race,give her ticket to Ted,ask the parents if they know him,ram into the car,,slash the tires,hide the knife in someone else's bag,call the taxi company,abandon his father,,,stage a break-in at the store,finish the race
100,342,TRUE,6,,,,78,20,,13,100,4,100,99,72,29,,,31,8,,45,Female,White / Caucasian,,Master's Degree (MS),Rung 7,take out a loan,,,,bring in the assignment the next day,huddle to conserve energy,,wave to the parents,ram into the car,refuse to drive her,light a fire under the car,take a train instead,tell his sister as soon as possible,abandon his father,,,call his lawyer,steal his dogs for extra speed
100,462,TRUE,9,100,73,,87,78,0,0,,,,100,90,0,,,0,0,,54,Female,White / Caucasian,,Some College,Rung 3,take out a loan,demand that the airline delays the flight,stage a robbery,,hypnotize the teacher,steal all of the food and water,try to buy a ticket off another person,read his mind,,,,hide the knife in someone else's bag,steal someone else’s ring,buy his father a tent,,,call his lawyer,carry her competitor on her sled
100,102,TRUE,27,44,,44,60,70,47,59,,33,,31,,39,,,82,43,,21,Male,Native American / American Indian,,College Graduate (4 year),Rung 6,start a fundraiser,take a public bus,,renew her membership,call her mom,throw away all of the food,pretend they are conjoined twins,wave to the parents,,yell in gibberish until she leaves,,threaten security with the knife,,check in on his father daily,,,stage a break-in at the store,call for help
100,438,TRUE,,100,5,100,,,95,75,,,0,,90,55,100,0,0,100,,26,Male,White / Caucasian,,College Graduate (4 year),Rung 4,,steal a passing driver's car,sell one of his kidneys,pull the fire alarm,,,teleport into the concert,tackle him and hold him down,,,check that the doors are locked,,blame it on the maid of honor,abandon his father,serve engine fuel to the passengers,give Todd her water,tell his lawyer that he’s sick,steal his dogs for extra speed
100,544,TRUE,,100,0,,,50,100,,0,0,50,100,100,0,50,,,10,,57,Female,White / Caucasian,,Some College,Rung 2,,demand that the airline delays the flight,explain the situation to his boss,,,search for a water source,steal someone else's ticket,,take a detour at the next exit,yell in gibberish until she leaves,light a fire under the car,threaten security with the knife,run away,check in on his father daily,ration their food,,,leave her dogs with him
100,463,TRUE,50,,,100,40,100,100,,0,0,50,100,,,100,80,,55,,32,Other,Other,Multiracial,College Graduate (4 year),Rung 2,take out a loan,,,renew her membership,quickly try to redo the assignment,search for a water source,give her ticket to Ted,,honk an angry message in Morse code,call her a cab,check that the doors are locked,hide the knife in someone else's bag,,,sell all the food to the highest bidder,yell at Todd for getting stuck,,finish the race
100,392,TRUE,0,92,0,91,30,0,,,100,0,0,4,29,0,,,,,,65,Female,White / Caucasian,,Doctoral Degree (PhD),Rung 7,take out a loan,steal a passing driver's car,sell one of his kidneys,crawl past the front desk,copy a friend's assignment,collect wood to start a fire,,,ram into the car,take her to his house but no further,call emergency services,ask to check the knife,run away,pitch his situation to a reality TV network,,,,
100,365,TRUE,,85,,70,,35,,90,0,,1,,85,25,100,0,65,95,,46,Female,White / Caucasian,,Some College,Rung 3,,reschedule for a later flight,,crawl past the front desk,,steal all of the food and water,,make cat noises at him until he leaves,honk at the driver until they pull over,,check that the doors are locked,,steal someone else’s ring,pitch his situation to a reality TV network,sell all the food to the highest bidder,give Todd her water,ask a friend to take over,hide him in the snow
100,465,TRUE,,20,20,75,,,0,95,,,0,,100,0,60,0,100,90,,46,Male,Black / African American,,Some College,Rung 3,,demand that the airline delays the flight,sell one of his kidneys,pull the fire alarm,,,teleport into the concert,tackle him and hold him down,,,pour water on the car to cool it,,call the taxi company,move into his father’s apartment,ration their food,get her arm stuck in solidarity,stage a break-in at the store,finish the race
100,358,TRUE,0,0,85,100,0,32,0,,,0,72,,,,100,0,,100,,76,Female,White / Caucasian,,College Graduate (4 year),Rung 5,go on strike for better wages,call a taxi,overcharge the next customers,renew her membership,lie that her house burnt down,boost morale with a three-legged race,go without Ted,,,turn invisible,slash the tires,,,,throw disobedient passengers off the boat,hike until she finds cell service,,hide him in the snow
100,476,TRUE,0,,50,,0,10,25,,0,0,,5,,,25,0,0,0,,29,Female,White / Caucasian,,College Graduate (4 year),Rung 3,switch insurance plans,,pay the money from his own wallet,,lie that her house burnt down,search for a water source,go without Ted,,pull over and call 911,refuse to drive her,,ask to check the knife,,,ration their food,saw Todd’s arm off,lock up the store,carry her competitor on her sled
100,368,TRUE,0,0,,,,,0,20,100,,0,100,0,0,0,0,0,,,49,Male,White / Caucasian,,Some College,Rung 6,search for the medication on the black market,call a taxi,,,,,try to buy a ticket off another person,tackle him and hold him down,ram into the car,,ask to use the mall's loudspeaker,ask to check the knife,borrow their mom’s wedding ring,get another job,request supplies to be airdropped,leave Todd to save herself,call his lawyer,
100,239,TRUE,,,99,,71,,50,,1,1,1,21,65,,1,50,40,50,,41,Female,Hispanic / Latino,,College Graduate (4 year),Rung 10 (Top Rung),,,stage a robbery,,copy a friend's assignment,,pretend they are conjoined twins,,tailgate the car,call her a cab,check that the doors are locked,store the knife in an airport locker,call the taxi company,,request supplies to be airdropped,get her arm stuck in solidarity,ask a friend to take over,steal his dogs for extra speed
100,448,TRUE,0,,0,,20,0,0,,0,0,,100,0,100,50,,100,,,52,Female,White / Caucasian,,Some College,Rung 5,search for the medication on the black market,,explain the situation to his boss,,bring in the assignment the next day,steal all of the food and water,give her ticket to Ted,,honk an angry message in Morse code,refuse to drive her,,take a train instead,tell his sister as soon as possible,buy his father a tent,serve engine fuel to the passengers,,stage a break-in at the store,
100,172,TRUE,12,17,,28,5,61,19,,84,,,11,,22,20,,63,79,,22,Female,White / Caucasian,,College Graduate (4 year),Rung 6,commit credit card fraud,take a public bus,,lie that she left her card inside,call her mom,huddle to conserve energy,go without Ted,,tailgate the car,,,pretend the knife is part of a hip replacement,,get another job,sell all the food to the highest bidder,,tell his lawyer that he’s sick,hide him in the snow
100,492,TRUE,50,,30,,100,0,60,,10,20,,100,100,50,25,,50,,,42,Female,Black / African American,,Master's Degree (MS),Rung 5,commit credit card fraud,,sell one of his kidneys,,hypnotize the teacher,throw away all of the food,steal someone else's ticket,,take a detour at the next exit,take her to his house but no further,,pretend the knife is part of a hip replacement,blame it on the maid of honor,check in on his father daily,organize a fishing crew,,leave the store unattended,
100,532,TRUE,,51,73,40,,,13,0,,,100,,73,0,33,89,0,2,,23,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 5,,steal a passing driver's car,overcharge the next customers,borrow someone's phone,,,go without Ted,make cat noises at him until he leaves,,,light a fire under the car,,call the taxi company,move into his father’s apartment,ration their food,get her arm stuck in solidarity,call his lawyer,leave her dogs with him
100,548,TRUE,,30,10,60,100,,,51,0,10,,,20,10,71,61,20,,,50,Female,White / Caucasian,,Master's Degree (MS),Rung 7,,call a taxi,pay the money from his own wallet,renew her membership,copy a friend's assignment,,,ask the parents if they know him,pull over and call 911,turn invisible,,,steal someone else’s ring,get another job,sell all the food to the highest bidder,saw Todd’s arm off,leave the store unattended,
100,411,TRUE,,20,50,90,0,25,0,0,,0,0,,,0,,25,,0,,28,Male,Hispanic / Latino,,College Graduate (4 year),Rung 4,,take a public bus,get an advance payday loan,lie that she left her card inside,hypnotize the teacher,throw away all of the food,go without Ted,read his mind,,call her a cab,pour water on the car to cool it,,,get another job,,saw Todd’s arm off,,leave her dogs with him
100,272,TRUE,0,100,0,0,,32,1,24,,,1,100,,1,43,,,0,,27,Male,Hispanic / Latino,,College Graduate (4 year),Rung 5,start a fundraiser,try to convince a passing driver to trade cars,get an advance payday loan,lie that she left her card inside,,boost morale with a three-legged race,give her ticket to Ted,read his mind,,,call emergency services,hide the knife in someone else's bag,,check in on his father daily,ration their food,,,finish the race
100,704,TRUE,0,,0,,0,75,,0,100,0,,50,100,0,,100,,100,,39,Male,White / Caucasian,,College Graduate (4 year),Rung 7,switch insurance plans,,pay the money from his own wallet,,call her mom,steal all of the food and water,,wave to the parents,ram into the car,take her to his house but no further,,take a train instead,blame it on the maid of honor,pitch his situation to a reality TV network,,saw Todd’s arm off,,steal his dogs for extra speed
100,672,TRUE,,45,,25,40,,70,10,,5,30,55,,5,10,30,0,,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 4,,demand that the airline delays the flight,,borrow someone's phone,bring in the assignment the next day,,steal someone else's ticket,make cat noises at him until he leaves,,refuse to drive her,slash the tires,take a train instead,,get another job,ration their food,yell at Todd for getting stuck,call his lawyer,
100,368,TRUE,12,100,99,,,15,10,,,100,100,10,100,93,,10,22,,,25,Female,Asian / Pacific Islander,,Master's Degree (MS),Rung 5,switch insurance plans,take a public bus,overcharge the next customers,,,boost morale with a three-legged race,teleport into the concert,,,steal whatever she has on her,light a fire under the car,ask to check the knife,borrow their mom’s wedding ring,abandon his father,,saw Todd’s arm off,leave the store unattended,
100,473,TRUE,0,26,,55,1,,73,,,4,65,47,100,,98,,26,0,,33,Female,Black / African American,,College Graduate (4 year),Rung 3,start a fundraiser,call a taxi,,renew her membership,quickly try to redo the assignment,,try to buy a ticket off another person,,,yell in gibberish until she leaves,light a fire under the car,hide the knife in someone else's bag,tell his sister as soon as possible,,throw disobedient passengers off the boat,,ask a friend to take over,call for help
100,467,TRUE,,19,,81,,18,91,88,54,50,71,100,81,,,26,,9,,48,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,,call a taxi,,crawl past the front desk,,boost morale with a three-legged race,steal someone else's ticket,make cat noises at him until he leaves,honk at the driver until they pull over,steal whatever she has on her,ask to use the mall's loudspeaker,threaten security with the knife,call the taxi company,,,leave Todd to save herself,,call for help
100,559,TRUE,50,50,,0,0,50,,30,0,0,0,100,90,,,0,,,,41,Male,Black / African American,,Some College,Rung 5,go on strike for better wages,try to convince a passing driver to trade cars,,pay for a day-pass to the gym,bring in the assignment the next day,huddle to conserve energy,,keep an eye on him,honk at the driver until they pull over,refuse to drive her,slash the tires,pretend the knife is part of a hip replacement,tell his sister as soon as possible,,,yell at Todd for getting stuck,,
100,711,TRUE,45,,0,20,30,,0,,2,0,0,,100,,10,7,,70,,25,Male,Black / African American,,College Graduate (4 year),Rung 7,commit credit card fraud,,pay the money from his own wallet,borrow someone's phone,bring in the assignment the next day,,try to buy a ticket off another person,,pull over and call 911,take her to his house but no further,ask to use the mall's loudspeaker,,run away,,organize a fishing crew,leave Todd to save herself,,hide him in the snow
100,76,TRUE,,,50,60,60,,60,49,39,61,,50,,71,50,71,,60,,29,Male,White / Caucasian,,College Graduate (4 year),Rung 8,,,explain the situation to his boss,borrow someone's phone,bring in the assignment the next day,,try to buy a ticket off another person,read his mind,take a detour at the next exit,turn invisible,,hide the knife in someone else's bag,,abandon his father,request supplies to be airdropped,saw Todd’s arm off,,finish the race
